,0,1,name
0,Price,771.5,ITAT
1,Mkt Cap,18800.0,ITAT
2,Vol,12.7,ITAT
3,P/E,55.5,ITAT
4,P/CF,38.0,ITAT
5,EPS (TTM),13.9,ITAT
6,% ch,20.0,ITAT
7,No. of shares,24.37,ITAT
8,% ch week,15.0,ITAT
9,% ch 1-mth,23.7,ITAT
10,% ch 12-mth,61.1,ITAT
11,52 week H/L,771.5/350.0,ITAT
12,52weekHigh,771.5,ITAT
13,52weekLow,350.0,ITAT
14,Indian Promoters,0.0%,ITAT
15,Foreign collaborators,51.8%,ITAT
16,Indian inst/Mut Fund,9.0%,ITAT
17,FIIs,2.3%,ITAT
18,ADR/GDR,0.0%,ITAT
19,Free float,36.9%,ITAT
20,Shareholders,13814,ITAT
21,Pledged promoter(s) holding,0.0%,ITAT
22,REGD OFF,"31, Sarojini Devi Road, Secunderabad - 500 003",ITAT
23,E-MAIL,phani.mangipudi@atfoods.com,ITAT
24,TELEPHONE,(040) 6665 0240,ITAT
25,SECTOR,"BEVERAGES, FOOD & TOBACCO",ITAT
26,TR AGENT,"Karvy Computershare, 17-24, Vithal Rao Nagar, Madhapur, Hyderabad-81",ITAT
27,AUDITOR,B. S. R & Co.,ITAT
28,CHM, William Lyon Hutton,ITAT
29,COMP SEC, Phani K. Mangipudi,ITAT
30,YEAR OF INC, 1986,ITAT
31,BSE CODE, 500215,ITAT
32,FV (Rs), 10,ITAT
33,DIV YIELD (%), 0.3,ITAT
