,0,1,name
0,Price,820.0,JBCH
1,Mkt Cap,69536.0,JBCH
2,Vol,1.6,JBCH
3,P/E,25.9,JBCH
4,P/CF,35.5,JBCH
5,EPS (TTM),31.6,JBCH
6,% ch,1.2,JBCH
7,No. of shares,84.80,JBCH
8,% ch week,5.6,JBCH
9,% ch 1-mth,12.4,JBCH
10,% ch 12-mth,118.6,JBCH
11,52 week H/L,820.3/321.7,JBCH
12,52weekHigh,820.3,JBCH
13,52weekLow,321.7,JBCH
14,Indian Promoters,55.4%,JBCH
15,Foreign collaborators,0.3%,JBCH
16,Indian inst/Mut Fund,3.4%,JBCH
17,FIIs,3.9%,JBCH
18,ADR/GDR,0.0%,JBCH
19,Free float,37.0%,JBCH
20,Shareholders,30437,JBCH
21,Pledged promoter(s) holding,0.0%,JBCH
22,REGD OFF,"Neelam Centre, 4th Floor, B-Wing, Hind Cycle Road, Worli, Mumbai - 400 030",JBCH
23,E-MAIL,investorelations@jbcpl.com,JBCH
24,TELEPHONE,(022) 3045 1200,JBCH
25,SECTOR,PHARMACEUTICALS,JBCH
26,TR AGENT,"Datamatics, No. B-5, MIDC, Part B, Cross Lane, Andheri (E), Mumbai-93",JBCH
27,AUDITOR,J. K. Shah & Co.,JBCH
28,CHM, Durga Dass Chopra,JBCH
29,COMP SEC, M. C. Mehta,JBCH
30,YEAR OF INC, 1976,JBCH
31,BSE CODE, 506943,JBCH
32,FV (Rs), 2,JBCH
33,DIV YIELD (%), 0.2,JBCH
