,0,1,name
0,Price,10.2,JBFI
1,Mkt Cap,742.0,JBFI
2,Vol,1.5,JBFI
3,P/E,-0.2,JBFI
4,P/CF,-0.1,JBFI
5,EPS (TTM),-55.9,JBFI
6,% ch,1.9,JBFI
7,No. of shares,72.70,JBFI
8,% ch week,8.7,JBFI
9,% ch 1-mth,5.9,JBFI
10,% ch 12-mth,49.3,JBFI
11,52 week H/L,22.1/6.4,JBFI
12,52weekHigh,22.1,JBFI
13,52weekLow,6.4,JBFI
14,Indian Promoters,53.9%,JBFI
15,Foreign collaborators,0.0%,JBFI
16,Indian inst/Mut Fund,4.6%,JBFI
17,FIIs,16.2%,JBFI
18,ADR/GDR,0.0%,JBFI
19,Free float,25.3%,JBFI
20,Shareholders,28216,JBFI
21,Pledged promoter(s) holding,0.0%,JBFI
22,REGD OFF,"Survey No. 273, Village Athola, Dadra & Nagar Haveli, Silvassa - 396 230",JBFI
23,E-MAIL,sec.shares@jbfmail.com,JBFI
24,TELEPHONE,(022) 2288 5959,JBFI
25,SECTOR,TEXTILES,JBFI
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Cmpd., LBS Marg, Mumbai-78",JBFI
27,AUDITOR,Chaturvedi & Shah,JBFI
28,CHM, Bhagirath C. Arya,JBFI
29,COMP SEC, Ujjwala G. Apte,JBFI
30,YEAR OF INC, 1982,JBFI
31,BSE CODE, 514034,JBFI
32,FV (Rs), 10,JBFI
33,DIV YIELD (%), -,JBFI
