,0,1,name
0,Price,98.0,JCLD
1,Mkt Cap,17488.0,JCLD
2,Vol,3.5,JCLD
3,P/E,92.2,JCLD
4,P/CF,-20.8,JCLD
5,EPS (TTM),1.1,JCLD
6,% ch,0.3,JCLD
7,No. of shares,178.45,JCLD
8,% ch week,6.9,JCLD
9,% ch 1-mth,6.1,JCLD
10,% ch 12-mth,35.5,JCLD
11,52 week H/L,121.9/42.7,JCLD
12,52weekHigh,121.9,JCLD
13,52weekLow,42.7,JCLD
14,Indian Promoters,73.0%,JCLD
15,Foreign collaborators,0.0%,JCLD
16,Indian inst/Mut Fund,1.9%,JCLD
17,FIIs,7.3%,JCLD
18,ADR/GDR,0.0%,JCLD
19,Free float,17.8%,JCLD
20,Shareholders,78365,JCLD
21,Pledged promoter(s) holding,0.0%,JCLD
22,REGD OFF,"A-3, M.I.D.C. Indl. Area, Nanded - 431 603",JCLD
23,E-MAIL,cs2@jaicorpindia.com,JCLD
24,TELEPHONE,(022) 6115 5300,JCLD
25,SECTOR,STEEL & RELATED,JCLD
26,TR AGENT,"Karvy Computershare, 17-24 , Vittal Rao Nagar, Madhapur, Hyderabad-81",JCLD
27,AUDITOR,Chaturvedi & Shah,JCLD
28,CHM, Anand Jain,JCLD
29,COMP SEC, Ananjan Datta,JCLD
30,YEAR OF INC, 1985,JCLD
31,BSE CODE, 512237,JCLD
32,FV (Rs), 1,JCLD
33,DIV YIELD (%), 0.5,JCLD
