,0,1,name
0,Price,18.1,JKBK
1,Mkt Cap,8751.0,JKBK
2,Vol,3.4,JKBK
3,P/E,-0.8,JKBK
4,P/CF,0.4,JKBK
5,EPS (TTM),-23.5,JKBK
6,% ch,0.3,JKBK
7,No. of shares,484.80,JKBK
8,% ch week,6.2,JKBK
9,% ch 1-mth,8.4,JKBK
10,% ch 12-mth,-49.4,JKBK
11,52 week H/L,42.8/11.1,JKBK
12,52weekHigh,42.8,JKBK
13,52weekLow,11.1,JKBK
14,Indian Promoters,53.2%,JKBK
15,Foreign collaborators,0.0%,JKBK
16,Indian inst/Mut Fund,4.3%,JKBK
17,FIIs,29.3%,JKBK
18,ADR/GDR,0.0%,JKBK
19,Free float,13.3%,JKBK
20,Shareholders,56111,JKBK
21,Pledged promoter(s) holding,0.0%,JKBK
22,REGD OFF,"M. A. Road, Srinagar - 190 001",JKBK
23,E-MAIL,sharedeptt_gc@jkbmail.com,JKBK
24,TELEPHONE,(0194) 2481 540,JKBK
25,SECTOR,BANKING,JKBK
26,TR AGENT,"Karvy Computershare, 17-24, Vittalrao Nagar, Madhapur, Hyderabad-81",JKBK
27,AUDITOR,Dhar Tiku & Co.,JKBK
28,CHM, Mushtaq Ahmad (CEO),JKBK
29,COMP SEC, Abdul Majid Bhat (President),JKBK
30,YEAR OF INC, 1938,JKBK
31,BSE CODE, 532209,JKBK
32,FV (Rs), 1,JKBK
33,DIV YIELD (%), -,JKBK
