,0,1,name
0,Price,1499.1,JKCE
1,Mkt Cap,104824.0,JKCE
2,Vol,2.8,JKCE
3,P/E,26.2,JKCE
4,P/CF,20.8,JKCE
5,EPS (TTM),57.3,JKCE
6,% ch,-1.7,JKCE
7,No. of shares,69.93,JKCE
8,% ch week,-0.0,JKCE
9,% ch 1-mth,-0.2,JKCE
10,% ch 12-mth,46.8,JKCE
11,52 week H/L,"1,613.0/800.0",JKCE
12,52weekHigh,"1,613.0",JKCE
13,52weekLow,800.0,JKCE
14,Indian Promoters,66.9%,JKCE
15,Foreign collaborators,0.0%,JKCE
16,Indian inst/Mut Fund,8.9%,JKCE
17,FIIs,12.8%,JKCE
18,ADR/GDR,0.0%,JKCE
19,Free float,11.4%,JKCE
20,Shareholders,85461,JKCE
21,Pledged promoter(s) holding,0.0%,JKCE
22,REGD OFF,"Kamla Tower, Kanpur - 208 001",JKCE
23,E-MAIL,shambhu.singh@jkcement.com,JKCE
24,TELEPHONE,(0512) 2371 478,JKCE
25,SECTOR,CEMENT,JKCE
26,TR AGENT,"Jaykay Enterprises Ltd., Kamla Tower, Kanpur - 208 001",JKCE
27,AUDITOR,P. L.Tandon & Co.,JKCE
28,CHM, Gaur Hari Singhania,JKCE
29,COMP SEC, Shambhu Singh (Fin. & Tax),JKCE
30,YEAR OF INC, 1994,JKCE
31,BSE CODE, 532644,JKCE
32,FV (Rs), 10,JKCE
33,DIV YIELD (%), 0.7,JKCE
