,0,1,name
0,Price,60.1,JKID
1,Mkt Cap,13620.0,JKID
2,Vol,211.3,JKID
3,P/E,9.1,JKID
4,P/CF,3.8,JKID
5,EPS (TTM),6.6,JKID
6,% ch,-1.9,JKID
7,No. of shares,226.81,JKID
8,% ch week,-1.6,JKID
9,% ch 1-mth,-7.5,JKID
10,% ch 12-mth,8.2,JKID
11,52 week H/L,87.7/31.5,JKID
12,52weekHigh,87.7,JKID
13,52weekLow,31.5,JKID
14,Indian Promoters,47.3%,JKID
15,Foreign collaborators,0.0%,JKID
16,Indian inst/Mut Fund,5.7%,JKID
17,FIIs,3.4%,JKID
18,ADR/GDR,0.0%,JKID
19,Free float,43.5%,JKID
20,Shareholders,34396,JKID
21,Pledged promoter(s) holding,0.0%,JKID
22,REGD OFF,"7, Council House Street, Kolkata - 700 001",JKID
23,E-MAIL,investorjktyre@jkmail.com,JKID
24,TELEPHONE,(033) 3017 9260,JKID
25,SECTOR,TYRES,JKID
26,TR AGENT,"Alankit Assignments, Alankit House, 2E/21, Jhandewalan Extn., Delhi - 55",JKID
27,AUDITOR,Lodha & Co.,JKID
28,CHM, Hari Shankar Singhania,JKID
29,COMP SEC, P. K. Rustagi,JKID
30,YEAR OF INC, 1951,JKID
31,BSE CODE, 530007,JKID
32,FV (Rs), 2,JKID
33,DIV YIELD (%), 2.5,JKID
