,0,1,name
0,Price,117.1,JKIL
1,Mkt Cap,3773.0,JKIL
2,Vol,67.0,JKIL
3,P/E,1.8,JKIL
4,P/CF,1.4,JKIL
5,EPS (TTM),65.1,JKIL
6,% ch,2.4,JKIL
7,No. of shares,32.23,JKIL
8,% ch week,16.5,JKIL
9,% ch 1-mth,30.9,JKIL
10,% ch 12-mth,-1.8,JKIL
11,52 week H/L,179.8/65.2,JKIL
12,52weekHigh,179.8,JKIL
13,52weekLow,65.2,JKIL
14,Indian Promoters,51.0%,JKIL
15,Foreign collaborators,0.0%,JKIL
16,Indian inst/Mut Fund,10.4%,JKIL
17,FIIs,17.9%,JKIL
18,ADR/GDR,0.0%,JKIL
19,Free float,20.7%,JKIL
20,Shareholders,6073,JKIL
21,Pledged promoter(s) holding,24.3%,JKIL
22,REGD OFF,"16-A, Andheri Indl. Estate, Veera Desai Road, Andheri (W), Mumbai-400 053",JKIL
23,E-MAIL,investor.grievances@jkumar.com,JKIL
24,TELEPHONE,(022) 6774 3555,JKIL
25,SECTOR,CONSTRUCTION,JKIL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",JKIL
27,AUDITOR,Gupta Saharia & Co.,JKIL
28,CHM, Jagdishkumar M. Gupta (MD),JKIL
29,COMP SEC, Poornima Reddy,JKIL
30,YEAR OF INC,,JKIL
31,BSE CODE, 532940,JKIL
32,FV (Rs), 10,JKIL
33,DIV YIELD (%), 4.5,JKIL
