,0,1,name
0,Price,822.3,JLSP
1,Mkt Cap,4227.0,JLSP
2,Vol,3.1,JLSP
3,P/E,14.4,JLSP
4,P/CF,49.8,JLSP
5,EPS (TTM),57.1,JLSP
6,% ch,1.0,JLSP
7,No. of shares,5.14,JLSP
8,% ch week,20.9,JLSP
9,% ch 1-mth,26.3,JLSP
10,% ch 12-mth,-12.1,JLSP
11,52 week H/L,967.4/411.0,JLSP
12,52weekHigh,967.4,JLSP
13,52weekLow,411.0,JLSP
14,Indian Promoters,55.4%,JLSP
15,Foreign collaborators,0.2%,JLSP
16,Indian inst/Mut Fund,0.6%,JLSP
17,FIIs,4.2%,JLSP
18,ADR/GDR,0.0%,JLSP
19,Free float,39.6%,JLSP
20,Shareholders,23884,JLSP
21,Pledged promoter(s) holding,0.0%,JLSP
22,REGD OFF,"28, Najafgarh Road, Moti Nagar Industrial Area, New Delhi -110 015",JLSP
23,E-MAIL,investorcare@nalwasons.com,JLSP
24,TELEPHONE,(011) 4502 1854,JLSP
25,SECTOR,MISCELLANEOUS,JLSP
26,TR AGENT,"Link Intime India, 44, Naraina Indl. Area, Phase 1, New Delhi-28",JLSP
27,AUDITOR,N. C. Aggarwal & Co.,JLSP
28,CHM, Mahender Kumar Goel (CEO),JLSP
29,COMP SEC, Bhartendu Harit,JLSP
30,YEAR OF INC, 1970,JLSP
31,BSE CODE, 532256,JLSP
32,FV (Rs), 10,JLSP
33,DIV YIELD (%), -,JLSP
