,0,1,name
0,Price,285.7,JLVY
1,Mkt Cap,690473.0,JLVY
2,Vol,211.2,JLVY
3,P/E,-55.5,JLVY
4,P/CF,6.0,JLVY
5,EPS (TTM),-5.1,JLVY
6,% ch,1.4,JLVY
7,No. of shares,2417.20,JLVY
8,% ch week,6.0,JLVY
9,% ch 1-mth,39.4,JLVY
10,% ch 12-mth,33.4,JLVY
11,52 week H/L,296.7/132.5,JLVY
12,52weekHigh,296.7,JLVY
13,52weekLow,132.5,JLVY
14,Indian Promoters,36.2%,JLVY
15,Foreign collaborators,2.4%,JLVY
16,Indian inst/Mut Fund,3.2%,JLVY
17,FIIs,21.4%,JLVY
18,ADR/GDR,0.0%,JLVY
19,Free float,36.9%,JLVY
20,Shareholders,827548,JLVY
21,Pledged promoter(s) holding,39.1%,JLVY
22,REGD OFF,"JSW Centre, Bandra Kurla Complex, Bandra (East), Mumbai - 400 051",JLVY
23,E-MAIL,jswsl.investor@jsw.in,JLVY
24,TELEPHONE,(022) 4286 1000,JLVY
25,SECTOR,STEEL & RELATED,JLVY
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",JLVY
27,AUDITOR,Deloitte Haskins & Sells,JLVY
28,CHM, Sajjan Jindal (MD),JLVY
29,COMP SEC, Lancy Varghese,JLVY
30,YEAR OF INC, 1994,JLVY
31,BSE CODE, 500228,JLVY
32,FV (Rs), 10,JLVY
33,DIV YIELD (%), 1.4,JLVY
