,0,1,name
0,Price,2449.7,JSWH
1,Mkt Cap,27189.0,JSWH
2,Vol,0.0,JSWH
3,P/E,31.1,JSWH
4,P/CF,39.9,JSWH
5,EPS (TTM),78.7,JSWH
6,% ch,0.0,JSWH
7,No. of shares,11.10,JSWH
8,% ch week,21.9,JSWH
9,% ch 1-mth,28.6,JSWH
10,% ch 12-mth,-9.4,JSWH
11,52 week H/L,"3,000.0/1,259.0",JSWH
12,52weekHigh,"3,000.0",JSWH
13,52weekLow,"1,259.0",JSWH
14,Indian Promoters,60.9%,JSWH
15,Foreign collaborators,0.0%,JSWH
16,Indian inst/Mut Fund,0.5%,JSWH
17,FIIs,7.8%,JSWH
18,ADR/GDR,0.0%,JSWH
19,Free float,30.8%,JSWH
20,Shareholders,29821,JSWH
21,Pledged promoter(s) holding,0.0%,JSWH
22,REGD OFF,"Village: Vasind, Taluka: Shahapur, District: Thane - 421 604",JSWH
23,E-MAIL,deepak.bhat@jsw.in,JSWH
24,TELEPHONE,(022) 4286 1000,JSWH
25,SECTOR,MISCELLANEOUS,JSWH
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",JSWH
27,AUDITOR,Shah Gupta & Co.,JSWH
28,CHM, Sajjan Jindal,JSWH
29,COMP SEC, Deepak Bhat,JSWH
30,YEAR OF INC, 2001,JSWH
31,BSE CODE, 532642,JSWH
32,FV (Rs), 10,JSWH
33,DIV YIELD (%), -,JSWH
