,0,1,name
0,Price,2.3,JYTST
1,Mkt Cap,238.0,JYTST
2,Vol,195.6,JYTST
3,P/E,-0.0,JYTST
4,P/CF,-0.0,JYTST
5,EPS (TTM),-415.5,JYTST
6,% ch,-4.3,JYTST
7,No. of shares,105.68,JYTST
8,% ch week,-4.3,JYTST
9,% ch 1-mth,-13.1,JYTST
10,% ch 12-mth,-,JYTST
11,52 week H/L,3.5/1.4,JYTST
12,52weekHigh,3.5,JYTST
13,52weekLow,1.4,JYTST
14,Indian Promoters,27.1%,JYTST
15,Foreign collaborators,0.0%,JYTST
16,Indian inst/Mut Fund,19.9%,JYTST
17,FIIs,1.7%,JYTST
18,ADR/GDR,0.0%,JYTST
19,Free float,51.4%,JYTST
20,Shareholders,40562,JYTST
21,Pledged promoter(s) holding,68.1%,JYTST
22,REGD OFF,"Valecha Chambers, 6th Floor, New Link Road, Andheri (W), Mumbai - 400 053",JYTST
23,E-MAIL,investor@jsl.in,JYTST
24,TELEPHONE,(022) 4091 5000,JYTST
25,SECTOR,CAPITAL GOODS,JYTST
26,TR AGENT,"Big Share Serv., Ansa Indl. Estate, Sakivihar Road, Saki Naka, Mumbai-72",JYTST
27,AUDITOR,R. M. Ajgaonkar & Assoc.,JYTST
28,CHM, S. D. Kshirsagar,JYTST
29,COMP SEC, L. H. Khilnani,JYTST
30,YEAR OF INC, 1980,JYTST
31,BSE CODE, 513250,JYTST
32,FV (Rs), 2,JYTST
33,DIV YIELD (%), -,JYTST
