,0,1,name
0,Price,481.9,KJCR
1,Mkt Cap,76598.0,KJCR
2,Vol,1.4,KJCR
3,P/E,45.0,KJCR
4,P/CF,24.1,KJCR
5,EPS (TTM),10.7,KJCR
6,% ch,0.9,KJCR
7,No. of shares,158.95,KJCR
8,% ch week,18.2,KJCR
9,% ch 1-mth,19.2,KJCR
10,% ch 12-mth,-1.2,KJCR
11,52 week H/L,605.8/295.4,KJCR
12,52weekHigh,605.8,KJCR
13,52weekLow,295.4,KJCR
14,Indian Promoters,52.1%,KJCR
15,Foreign collaborators,0.0%,KJCR
16,Indian inst/Mut Fund,3.9%,KJCR
17,FIIs,25.5%,KJCR
18,ADR/GDR,0.0%,KJCR
19,Free float,18.4%,KJCR
20,Shareholders,12593,KJCR
21,Pledged promoter(s) holding,0.0%,KJCR
22,REGD OFF,"A-27-30, Sikandrabad Indl. Area, Sikandrabad, Distt. Bulandshahr-203 205",KJCR
23,E-MAIL,investors@kajariaceramics.com,KJCR
24,TELEPHONE,(011) 2694 6409,KJCR
25,SECTOR,CERAMIC TILES,KJCR
26,TR AGENT,"MCS, F-65, 1st Floor, Okhla Industrial Area, Phase-1, New Delhi-20",KJCR
27,AUDITOR,O. P. Bagla & Co.,KJCR
28,CHM, Ashok Kajaria (MD),KJCR
29,COMP SEC, R. C. Rawat (V. P. Finance),KJCR
30,YEAR OF INC, 1985,KJCR
31,BSE CODE, 500233,KJCR
32,FV (Rs), 2,KJCR
33,DIV YIELD (%), 0.6,KJCR
