,0,1,name
0,Price,15.7,KTWSC
1,Mkt Cap,628.0,KTWSC
2,Vol,19.3,KTWSC
3,P/E,278.9,KTWSC
4,P/CF,3.1,KTWSC
5,EPS (TTM),0.1,KTWSC
6,% ch,0.5,KTWSC
7,No. of shares,40.10,KTWSC
8,% ch week,0.4,KTWSC
9,% ch 1-mth,3.9,KTWSC
10,% ch 12-mth,-4.6,KTWSC
11,52 week H/L,26.7/7.7,KTWSC
12,52weekHigh,26.7,KTWSC
13,52weekLow,7.7,KTWSC
14,Indian Promoters,45.3%,KTWSC
15,Foreign collaborators,0.0%,KTWSC
16,Indian inst/Mut Fund,6.3%,KTWSC
17,FIIs,6.2%,KTWSC
18,ADR/GDR,0.0%,KTWSC
19,Free float,42.2%,KTWSC
20,Shareholders,7200,KTWSC
21,Pledged promoter(s) holding,0.0%,KTWSC
22,REGD OFF,"Shree Shakambhari Cor. Park, Plot No-156-158, Chakravati Ashok Complex, Andheri (E)",KTWSC
23,E-MAIL,investors.care@thebyke.com,KTWSC
24,TELEPHONE,+91-22-67079666,KTWSC
25,SECTOR,HOTELS,KTWSC
26,TR AGENT,Sharex Dynamic (India) Pvt. Ltd.,KTWSC
27,COMP SEC, Ms Neha Mankame,KTWSC
28,YEAR OF INC, 1990,KTWSC
29,BSE CODE, 531373,KTWSC
30,FV (Rs), 10,KTWSC
31,DIV YIELD (%), 6.4,KTWSC
