,0,1,name
0,Price,185.0,LCPP
1,Mkt Cap,2736.0,LCPP
2,Vol,2.5,LCPP
3,P/E,15.1,LCPP
4,P/CF,11.3,LCPP
5,EPS (TTM),12.2,LCPP
6,% ch,1.9,LCPP
7,No. of shares,14.79,LCPP
8,% ch week,14.2,LCPP
9,% ch 1-mth,9.9,LCPP
10,% ch 12-mth,1.1,LCPP
11,52 week H/L,247.9/115.2,LCPP
12,52weekHigh,247.9,LCPP
13,52weekLow,115.2,LCPP
14,Indian Promoters,60.4%,LCPP
15,Foreign collaborators,0.0%,LCPP
16,Indian inst/Mut Fund,0.0%,LCPP
17,FIIs,0.0%,LCPP
18,ADR/GDR,0.0%,LCPP
19,Free float,39.6%,LCPP
20,Shareholders,6688,LCPP
21,Pledged promoter(s) holding,0.0%,LCPP
22,REGD OFF,"Satyam Towers, 1 Floor, 3, Alipore Road, Kolkata - 700 027",LCPP
23,E-MAIL,investors@lincpen.com,LCPP
24,TELEPHONE,(033) 2479 0248,LCPP
25,SECTOR,CONSUMER PRODUCTS,LCPP
26,TR AGENT,"Maheswari Datamatics, 6, Mangoe Lane, 2nd Floor, Kolkata-01",LCPP
27,AUDITOR,G. P. Agarwal & Co.,LCPP
28,CHM, Deepak Jalan (MD),LCPP
29,COMP SEC, N. K. Dujari,LCPP
30,YEAR OF INC, 1994,LCPP
31,BSE CODE, 531241,LCPP
32,FV (Rs), 10,LCPP
33,DIV YIELD (%), 1.6,LCPP
