,0,1,name
0,Price,5.4,LEELA
1,Mkt Cap,2510.0,LEELA
2,Vol,64.9,LEELA
3,P/E,1.4,LEELA
4,P/CF,-8.9,LEELA
5,EPS (TTM),3.9,LEELA
6,% ch,2.7,LEELA
7,No. of shares,466.61,LEELA
8,% ch week,3.7,LEELA
9,% ch 1-mth,13.3,LEELA
10,% ch 12-mth,-21.1,LEELA
11,52 week H/L,9.9/2.9,LEELA
12,52weekHigh,9.9,LEELA
13,52weekLow,2.9,LEELA
14,Indian Promoters,63.9%,LEELA
15,Foreign collaborators,0.0%,LEELA
16,Indian inst/Mut Fund,5.3%,LEELA
17,FIIs,0.5%,LEELA
18,ADR/GDR,0.0%,LEELA
19,Free float,30.3%,LEELA
20,Shareholders,111944,LEELA
21,Pledged promoter(s) holding,88.6%,LEELA
22,REGD OFF,"The Leela Kempinski, Sahar, Andheri (East), Mumbai - 400 059",LEELA
23,E-MAIL,dinesh.kalani@theleela.com,LEELA
24,TELEPHONE,(022) 6691 1182,LEELA
25,SECTOR,HOTELS,LEELA
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",LEELA
27,AUDITOR,Picardo & Co.,LEELA
28,CHM, Vivek Nair (MD),LEELA
29,COMP SEC, Dinesh Kalani,LEELA
30,YEAR OF INC, 1982,LEELA
31,BSE CODE, 500193,LEELA
32,FV (Rs), 2,LEELA
33,DIV YIELD (%), -,LEELA
