,0,1,name
0,Price,292.9,LICHF
1,Mkt Cap,147815.0,LICHF
2,Vol,196.5,LICHF
3,P/E,6.1,LICHF
4,P/CF,5.6,LICHF
5,EPS (TTM),47.6,LICHF
6,% ch,5.9,LICHF
7,No. of shares,504.66,LICHF
8,% ch week,9.7,LICHF
9,% ch 1-mth,7.5,LICHF
10,% ch 12-mth,-32.1,LICHF
11,52 week H/L,486.4/186.0,LICHF
12,52weekHigh,486.4,LICHF
13,52weekLow,186.0,LICHF
14,Indian Promoters,40.3%,LICHF
15,Foreign collaborators,0.0%,LICHF
16,Indian inst/Mut Fund,7.0%,LICHF
17,FIIs,38.0%,LICHF
18,ADR/GDR,0.6%,LICHF
19,Free float,14.2%,LICHF
20,Shareholders,159214,LICHF
21,Pledged promoter(s) holding,0.0%,LICHF
22,REGD OFF,"Bombay Life Bldg., 2nd Floor, 45/47, Veer Nariman Road, Mumbai - 400 001",LICHF
23,E-MAIL,nitin_jage@lichousing.com,LICHF
24,TELEPHONE,(022) 2204 0006,LICHF
25,SECTOR,INVESTMENT & FINANCE,LICHF
26,TR AGENT,"Sharex Dynamic, Luthra Indl., Safed Pool, Sakinaka, Andheri (E), Mumbai-72",LICHF
27,AUDITOR,Chokshi & Chokshi,LICHF
28,CHM, S. K. Roy,LICHF
29,COMP SEC, Nitin K. Jage (GM - Taxation),LICHF
30,YEAR OF INC, 1989,LICHF
31,BSE CODE, 500253,LICHF
32,FV (Rs), 2,LICHF
33,DIV YIELD (%), 2.3,LICHF
