,0,1,name
0,Price,32.6,LOGIX
1,Mkt Cap,399.0,LOGIX
2,Vol,14.4,LOGIX
3,P/E,4.9,LOGIX
4,P/CF,2.2,LOGIX
5,EPS (TTM),6.7,LOGIX
6,% ch,-3.4,LOGIX
7,No. of shares,12.25,LOGIX
8,% ch week,1.7,LOGIX
9,% ch 1-mth,42.5,LOGIX
10,% ch 12-mth,25.2,LOGIX
11,52 week H/L,38.8/11.4,LOGIX
12,52weekHigh,38.8,LOGIX
13,52weekLow,11.4,LOGIX
14,Indian Promoters,24.2%,LOGIX
15,Foreign collaborators,0.0%,LOGIX
16,Indian inst/Mut Fund,0.0%,LOGIX
17,FIIs,2.2%,LOGIX
18,ADR/GDR,0.0%,LOGIX
19,Free float,73.6%,LOGIX
20,Shareholders,6973,LOGIX
21,Pledged promoter(s) holding,0.0%,LOGIX
22,REGD OFF,"177/2C, Bilekahalli Industrial Area, Banneraghatta Road, Bangalore - 560 076",LOGIX
23,E-MAIL,gopi.sd@logixworld.com,LOGIX
24,TELEPHONE,(080) 6712 5400,LOGIX
25,SECTOR,SOFTWARE,LOGIX
26,TR AGENT,"Cameo Corp. Sevices, Subramaniam Bldg., 1 Club Hse Rd., Chennai-02",LOGIX
27,AUDITOR,R. Vijayanand,LOGIX
28,CHM, Shashi Soni,LOGIX
29,COMP SEC, Gopi S. D (Senior MF & Acc.),LOGIX
30,YEAR OF INC, 1995,LOGIX
31,BSE CODE, 532341,LOGIX
32,FV (Rs), 10,LOGIX
33,DIV YIELD (%), -,LOGIX
