,0,1,name
0,Price,22.7,MCRL
1,Mkt Cap,2479.0,MCRL
2,Vol,1460.8,MCRL
3,P/E,-1.1,MCRL
4,P/CF,0.8,MCRL
5,EPS (TTM),-21.1,MCRL
6,% ch,5.0,MCRL
7,No. of shares,109.46,MCRL
8,% ch week,27.4,MCRL
9,% ch 1-mth,105.2,MCRL
10,% ch 12-mth,106.5,MCRL
11,52 week H/L,22.7/1.8,MCRL
12,52weekHigh,22.7,MCRL
13,52weekLow,1.8,MCRL
14,Indian Promoters,20.9%,MCRL
15,Foreign collaborators,24.7%,MCRL
16,Indian inst/Mut Fund,9.8%,MCRL
17,FIIs,30.8%,MCRL
18,ADR/GDR,0.0%,MCRL
19,Free float,13.7%,MCRL
20,Shareholders,56639,MCRL
21,Pledged promoter(s) holding,11.7%,MCRL
22,REGD OFF,"Four Mangoe Lane, 7th Floor, S. M. Ghosh Sarani, Calcutta - 700 001",MCRL
23,E-MAIL,administrator@wmg.co.in,MCRL
24,TELEPHONE,(033) 2210 1221,MCRL
25,SECTOR,"BEVERAGES, FOOD & TOBACCO",MCRL
26,TR AGENT,"Maheswari Datamatics, 6, Mangoe Lane, 2nd Floor, Kolkata-01",MCRL
27,AUDITOR,Price Waterhouse,MCRL
28,CHM, B M Khaitan,MCRL
29,COMP SEC, Amitabha Guha Sarkar,MCRL
30,YEAR OF INC, 1998,MCRL
31,BSE CODE, 532654,MCRL
32,FV (Rs), 10,MCRL
33,DIV YIELD (%), 2.2,MCRL
