,0,1,name
0,Price,298.1,MDPL
1,Mkt Cap,8253.0,MDPL
2,Vol,9.3,MDPL
3,P/E,22.0,MDPL
4,P/CF,17.2,MDPL
5,EPS (TTM),13.5,MDPL
6,% ch,1.2,MDPL
7,No. of shares,27.69,MDPL
8,% ch week,4.7,MDPL
9,% ch 1-mth,37.1,MDPL
10,% ch 12-mth,-0.3,MDPL
11,52 week H/L,322.0/145.8,MDPL
12,52weekHigh,322.0,MDPL
13,52weekLow,145.8,MDPL
14,Indian Promoters,33.9%,MDPL
15,Foreign collaborators,0.0%,MDPL
16,Indian inst/Mut Fund,17.5%,MDPL
17,FIIs,3.8%,MDPL
18,ADR/GDR,0.0%,MDPL
19,Free float,44.9%,MDPL
20,Shareholders,13633,MDPL
21,Pledged promoter(s) holding,0.0%,MDPL
22,REGD OFF,"8-2-293/82/A/700, Ground Floor, Road No 36, Jubille Hills, Hyderabad",MDPL
23,E-MAIL,xlfield@gmail.com,MDPL
24,TELEPHONE,+91-4023545913,MDPL
25,SECTOR,PLASTICS,MDPL
26,TR AGENT,"XL, Softech Systems Ltd, Banajara Hills, Hyderabad",MDPL
27,COMP SEC, Ms. Apeksha Naidu,MDPL
28,YEAR OF INC, 1997,MDPL
29,BSE CODE, 533080,MDPL
30,FV (Rs), 5,MDPL
31,DIV YIELD (%), 1.3,MDPL
