,0,1,name
0,Price,222.1,MGLC
1,Mkt Cap,5928.0,MGLC
2,Vol,0.4,MGLC
3,P/E,7.8,MGLC
4,P/CF,10.7,MGLC
5,EPS (TTM),28.4,MGLC
6,% ch,0.7,MGLC
7,No. of shares,26.69,MGLC
8,% ch week,13.1,MGLC
9,% ch 1-mth,14.2,MGLC
10,% ch 12-mth,-16.5,MGLC
11,52 week H/L,339.9/115.7,MGLC
12,52weekHigh,339.9,MGLC
13,52weekLow,115.7,MGLC
14,Indian Promoters,27.4%,MGLC
15,Foreign collaborators,0.0%,MGLC
16,Indian inst/Mut Fund,1.1%,MGLC
17,FIIs,1.1%,MGLC
18,ADR/GDR,0.0%,MGLC
19,Free float,70.3%,MGLC
20,Shareholders,22477,MGLC
21,Pledged promoter(s) holding,52.2%,MGLC
22,REGD OFF,"P. O. Aditya Nagar, Kota, Morak - 326 520",MGLC
23,E-MAIL,mclmorak@kappa.net.in,MGLC
24,TELEPHONE,(07459) 232 262,MGLC
25,SECTOR,CEMENT,MGLC
26,TR AGENT,"Mas Servcies, T-34, Okhla Industrial Area, Phase II, New Delhi-20",MGLC
27,AUDITOR,Jain Pramod Jain & Co.,MGLC
28,CHM, Amal Ganguli,MGLC
29,COMP SEC, Swadesh Agrawal,MGLC
30,YEAR OF INC, 1976,MGLC
31,BSE CODE, 502157,MGLC
32,FV (Rs), 10,MGLC
33,DIV YIELD (%), 0.2,MGLC
