,0,1,name
0,Price,11.2,MGRI
1,Mkt Cap,341.0,MGRI
2,Vol,2.6,MGRI
3,P/E,-0.8,MGRI
4,P/CF,-309.7,MGRI
5,EPS (TTM),-13.2,MGRI
6,% ch,0.0,MGRI
7,No. of shares,30.42,MGRI
8,% ch week,-1.9,MGRI
9,% ch 1-mth,22.4,MGRI
10,% ch 12-mth,-19.4,MGRI
11,52 week H/L,21.0/6.5,MGRI
12,52weekHigh,21.0,MGRI
13,52weekLow,6.5,MGRI
14,Indian Promoters,57.1%,MGRI
15,Foreign collaborators,0.0%,MGRI
16,Indian inst/Mut Fund,9.8%,MGRI
17,FIIs,0.2%,MGRI
18,ADR/GDR,0.0%,MGRI
19,Free float,33.0%,MGRI
20,Shareholders,12669,MGRI
21,Pledged promoter(s) holding,0.0%,MGRI
22,REGD OFF,"Sidhwa House, 1st Floor, N. A. Sawant Marg, Colaba, Mumbai - 400 005",MGRI
23,E-MAIL,sharegrievances@manugraph.com,MGRI
24,TELEPHONE,(022) 2285 2256,MGRI
25,SECTOR,CAPITAL GOODS,MGRI
26,TR AGENT,"Link Intime India, C-13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai-78",MGRI
27,AUDITOR,Natvarlal Vepari & Co.,MGRI
28,CHM, Sanat M. Shah,MGRI
29,COMP SEC, Ravindra V. Joshi,MGRI
30,YEAR OF INC, 1972,MGRI
31,BSE CODE, 505324,MGRI
32,FV (Rs), 2,MGRI
33,DIV YIELD (%), 5.4,MGRI
