,0,1,name
0,Price,14421.3,MICO
1,Mkt Cap,440137.0,MICO
2,Vol,0.1,MICO
3,P/E,60.5,MICO
4,P/CF,22.0,MICO
5,EPS (TTM),238.5,MICO
6,% ch,1.6,MICO
7,No. of shares,30.52,MICO
8,% ch week,3.8,MICO
9,% ch 1-mth,9.3,MICO
10,% ch 12-mth,1.3,MICO
11,52 week H/L,"17,136.6/7,874.0",MICO
12,52weekHigh,"17,136.6",MICO
13,52weekLow,"7,874.0",MICO
14,Indian Promoters,0.0%,MICO
15,Foreign collaborators,71.2%,MICO
16,Indian inst/Mut Fund,11.7%,MICO
17,FIIs,7.2%,MICO
18,ADR/GDR,0.0%,MICO
19,Free float,9.9%,MICO
20,Shareholders,25533,MICO
21,Pledged promoter(s) holding,0.0%,MICO
22,REGD OFF,"Hosur Road, Adugodi, Bangalore - 560 030",MICO
23,E-MAIL,investor@in.bosch.com,MICO
24,TELEPHONE,(080) 2299 2314,MICO
25,SECTOR,"AUTO ANCILLARIES,FORGINGS",MICO
26,TR AGENT,"Integrated Enterp., Ramana Residency, 4 Cross, Malleswaram, Bangalore-03",MICO
27,AUDITOR,Price Waterhouse & Co.,MICO
28,CHM, Albert Hieronimus,MICO
29,COMP SEC, A. Vijay Shankar,MICO
30,YEAR OF INC, 1951,MICO
31,BSE CODE, 500530,MICO
32,FV (Rs), 10,MICO
33,DIV YIELD (%), 0.7,MICO
