,0,1,name
0,Price,1153.1,MIND
1,Mkt Cap,197365.0,MIND
2,Vol,23.4,MIND
3,P/E,31.3,MIND
4,P/CF,21.5,MIND
5,EPS (TTM),36.9,MIND
6,% ch,-0.7,MIND
7,No. of shares,171.16,MIND
8,% ch week,-0.8,MIND
9,% ch 1-mth,12.8,MIND
10,% ch 12-mth,63.2,MIND
11,52 week H/L,"1,208.1/667.3",MIND
12,52weekHigh,"1,208.1",MIND
13,52weekLow,667.3,MIND
14,Indian Promoters,14.6%,MIND
15,Foreign collaborators,1.9%,MIND
16,Indian inst/Mut Fund,10.5%,MIND
17,FIIs,35.6%,MIND
18,ADR/GDR,0.0%,MIND
19,Free float,37.4%,MIND
20,Shareholders,51800,MIND
21,Pledged promoter(s) holding,0.0%,MIND
22,REGD OFF,"Global Village, RVCE Post, Mysore Road, Bangalore - 560 059",MIND
23,E-MAIL,rajesh_narang@mindtree.com,MIND
24,TELEPHONE,080-3395 5118,MIND
25,SECTOR,SOFTWARE,MIND
26,TR AGENT,"Link Intime India, C13 Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",MIND
27,AUDITOR,B. S. R & Co.,MIND
28,CHM, Subroto Bagchi,MIND
29,COMP SEC, Rajesh S. Narang,MIND
30,YEAR OF INC, 1999,MIND
31,BSE CODE, 532819,MIND
32,FV (Rs), 10,MIND
33,DIV YIELD (%), 2.7,MIND
