,0,1,name
0,Price,35.7,MMLG
1,Mkt Cap,6787.0,MMLG
2,Vol,107.8,MMLG
3,P/E,2.7,MMLG
4,P/CF,0.8,MMLG
5,EPS (TTM),13.4,MMLG
6,% ch,-0.6,MMLG
7,No. of shares,190.38,MMLG
8,% ch week,16.1,MMLG
9,% ch 1-mth,32.8,MMLG
10,% ch 12-mth,-48.6,MMLG
11,52 week H/L,72.0/12.7,MMLG
12,52weekHigh,72.0,MMLG
13,52weekLow,12.7,MMLG
14,Indian Promoters,33.6%,MMLG
15,Foreign collaborators,0.0%,MMLG
16,Indian inst/Mut Fund,1.3%,MMLG
17,FIIs,55.7%,MMLG
18,ADR/GDR,0.0%,MMLG
19,Free float,9.4%,MMLG
20,Shareholders,13726,MMLG
21,Pledged promoter(s) holding,0.0%,MMLG
22,REGD OFF,"Magma House, 24, Park Street, Kolkata - 700 016",MMLG
23,E-MAIL,bhatia.g@magma.co.in,MMLG
24,TELEPHONE,(033) 4401 7200,MMLG
25,SECTOR,INVESTMENT & FINANCE,MMLG
26,TR AGENT,"Niche Technologies, D-511, Bagree Market, 71, B.R.B.B. Road, Kolkata-01",MMLG
27,AUDITOR,B. S. R. & Co.,MMLG
28,CHM, Mayank Poddar,MMLG
29,COMP SEC, Girish Bhatia,MMLG
30,YEAR OF INC, 1988,MMLG
31,BSE CODE, 524000,MMLG
32,FV (Rs), 2,MMLG
33,DIV YIELD (%), 2.8,MMLG
