,0,1,name
0,Price,2510.6,MNOL
1,Mkt Cap,31784.0,MNOL
2,Vol,0.0,MNOL
3,P/E,31.9,MNOL
4,P/CF,22.2,MNOL
5,EPS (TTM),78.8,MNOL
6,% ch,1.1,MNOL
7,No. of shares,12.66,MNOL
8,% ch week,6.1,MNOL
9,% ch 1-mth,11.8,MNOL
10,% ch 12-mth,5.1,MNOL
11,52 week H/L,"3,015.0/2,000.8",MNOL
12,52weekHigh,"3,015.0",MNOL
13,52weekLow,"2,000.8",MNOL
14,Indian Promoters,56.1%,MNOL
15,Foreign collaborators,0.0%,MNOL
16,Indian inst/Mut Fund,0.1%,MNOL
17,FIIs,14.5%,MNOL
18,ADR/GDR,0.0%,MNOL
19,Free float,29.3%,MNOL
20,Shareholders,7805,MNOL
21,Pledged promoter(s) holding,0.0%,MNOL
22,REGD OFF,"9, GIDC Industrial Estate, Kadi, Dist. Mehsana, Gujarat - 382 715",MNOL
23,E-MAIL,nk_acharya@cera-india.com,MNOL
24,TELEPHONE,(02764) 262 638,MNOL
25,SECTOR,DIVERSIFIED,MNOL
26,TR AGENT,"MCS Limited, 101, Shatdal Complex,1st Flr, Ashram Road, Ahmedabad-09",MNOL
27,AUDITOR,H. V. Vasa & Co.,MNOL
28,CHM, Vikram Somany,MNOL
29,COMP SEC, Narendra N Patel,MNOL
30,YEAR OF INC, 1998,MNOL
31,BSE CODE, 532443,MNOL
32,FV (Rs), 5,MNOL
33,DIV YIELD (%), 0.5,MNOL
