,0,1,name
0,Price,150.5,MOIL
1,Mkt Cap,40089.0,MOIL
2,Vol,1.5,MOIL
3,P/E,16.2,MOIL
4,P/CF,7.4,MOIL
5,EPS (TTM),9.3,MOIL
6,% ch,0.9,MOIL
7,No. of shares,266.37,MOIL
8,% ch week,1.7,MOIL
9,% ch 1-mth,8.3,MOIL
10,% ch 12-mth,21.4,MOIL
11,52 week H/L,170.0/86.8,MOIL
12,52weekHigh,170.0,MOIL
13,52weekLow,86.8,MOIL
14,Indian Promoters,80.0%,MOIL
15,Foreign collaborators,0.0%,MOIL
16,Indian inst/Mut Fund,2.6%,MOIL
17,FIIs,6.8%,MOIL
18,ADR/GDR,0.0%,MOIL
19,Free float,10.6%,MOIL
20,Shareholders,358337,MOIL
21,Pledged promoter(s) holding,0.0%,MOIL
22,REGD OFF,"1-A, MOIL Bhavan, Katol Road, Nagaur - 440 013",MOIL
23,E-MAIL,compliance@moil.nic.in,MOIL
24,TELEPHONE,(091) 2806 100,MOIL
25,SECTOR,MINING/MINERALS,MOIL
26,TR AGENT,"Karvy Computer, 46, Avenue 4, St. No. 1, Banjara Hills, Hyderabad-34",MOIL
27,AUDITOR,V. K. Surana & Co.,MOIL
28,CHM, G. P. Kundargi (MD),MOIL
29,COMP SEC, Neeraj Dutt Pandey,MOIL
30,YEAR OF INC, 1962,MOIL
31,BSE CODE, 533286,MOIL
32,FV (Rs), 10,MOIL
33,DIV YIELD (%), 3.9,MOIL
