,0,1,name
0,Price,52.2,MOLF
1,Mkt Cap,31291.0,MOLF
2,Vol,483.8,MOLF
3,P/E,-43.8,MOLF
4,P/CF,-5.6,MOLF
5,EPS (TTM),-1.2,MOLF
6,% ch,-3.5,MOLF
7,No. of shares,599.45,MOLF
8,% ch week,5.5,MOLF
9,% ch 1-mth,4.1,MOLF
10,% ch 12-mth,-59.8,MOLF
11,52 week H/L,137.7/30.8,MOLF
12,52weekHigh,137.7,MOLF
13,52weekLow,30.8,MOLF
14,Indian Promoters,53.5%,MOLF
15,Foreign collaborators,0.0%,MOLF
16,Indian inst/Mut Fund,0.0%,MOLF
17,FIIs,0.8%,MOLF
18,ADR/GDR,0.0%,MOLF
19,Free float,45.7%,MOLF
20,Shareholders,141032,MOLF
21,Pledged promoter(s) holding,23.7%,MOLF
22,REGD OFF,"Murasoli Maran Towers, 73, MRC Nagar Main Road, MRC Nagar, Chennai- 600 028",MOLF
23,E-MAIL,investors@spicejet.com,MOLF
24,TELEPHONE,(0124) 391 3939,MOLF
25,SECTOR,AIR & RAILWAY,MOLF
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",MOLF
27,AUDITOR,S. R. Batliboi & Assoc.,MOLF
28,CHM, kalanithi Maran,MOLF
29,COMP SEC, Chandan Sand (GM. Legal),MOLF
30,YEAR OF INC, 1984,MOLF
31,BSE CODE, 500285,MOLF
32,FV (Rs), 10,MOLF
33,DIV YIELD (%), -,MOLF
