,0,1,name
0,Price,59619.6,MRF
1,Mkt Cap,252787.0,MRF
2,Vol,1.7,MRF
3,P/E,18.1,MRF
4,P/CF,13.0,MRF
5,EPS (TTM),3290.0,MRF
6,% ch,-0.1,MRF
7,No. of shares,4.24,MRF
8,% ch week,-0.9,MRF
9,% ch 1-mth,-5.3,MRF
10,% ch 12-mth,1.4,MRF
11,52 week H/L,"73,500.0/50,000.0",MRF
12,52weekHigh,"73,500.0",MRF
13,52weekLow,"50,000.0",MRF
14,Indian Promoters,26.8%,MRF
15,Foreign collaborators,0.5%,MRF
16,Indian inst/Mut Fund,9.4%,MRF
17,FIIs,8.8%,MRF
18,ADR/GDR,0.0%,MRF
19,Free float,54.7%,MRF
20,Shareholders,28974,MRF
21,Pledged promoter(s) holding,0.6%,MRF
22,REGD OFF,"114, Greams Road, Chennai - 600 006",MRF
23,E-MAIL,mrfshare@mrfmail.com,MRF
24,TELEPHONE,(044) 2829 2777,MRF
25,SECTOR,TYRES,MRF
26,TR AGENT,In House,MRF
27,AUDITOR,Sastri & Shah,MRF
28,CHM, K. M. Mammen (MD),MRF
29,COMP SEC, Ravi Mannath,MRF
30,YEAR OF INC, 1960,MRF
31,BSE CODE, 500290,MRF
32,FV (Rs), 10,MRF
33,DIV YIELD (%), 0.1,MRF
