,0,1,name
0,Price,7.4,MRGC
1,Mkt Cap,281.0,MRGC
2,Vol,1.7,MRGC
3,P/E,-1.7,MRGC
4,P/CF,-0.7,MRGC
5,EPS (TTM),-4.3,MRGC
6,% ch,4.8,MRGC
7,No. of shares,38.12,MRGC
8,% ch week,3.1,MRGC
9,% ch 1-mth,-1.1,MRGC
10,% ch 12-mth,-8.1,MRGC
11,52 week H/L,13.0/5.7,MRGC
12,52weekHigh,13.0,MRGC
13,52weekLow,5.7,MRGC
14,Indian Promoters,54.3%,MRGC
15,Foreign collaborators,0.0%,MRGC
16,Indian inst/Mut Fund,5.7%,MRGC
17,FIIs,0.4%,MRGC
18,ADR/GDR,0.0%,MRGC
19,Free float,39.6%,MRGC
20,Shareholders,18701,MRGC
21,Pledged promoter(s) holding,92.0%,MRGC
22,REGD OFF,"Marg Axis, 4/318, Rajiv Gandhi Salai, Kottivakkam, Chennai - 600 041",MRGC
23,E-MAIL,investor@marggroup.com,MRGC
24,TELEPHONE,(044) 3221 1944,MRGC
25,SECTOR,CONSTRUCTION,MRGC
26,TR AGENT,"Cameo Corp. Sevices, Subramanian Bldg., 1 Club Hse Road, Chennai-02",MRGC
27,AUDITOR,K. Ramkumar & Co.,MRGC
28,CHM, G. R. K Reddy (MD),MRGC
29,COMP SEC, S. Ramasundaram,MRGC
30,YEAR OF INC, 1994,MRGC
31,BSE CODE, 530543,MRGC
32,FV (Rs), 10,MRGC
33,DIV YIELD (%), -,MRGC
