,0,1,name
0,Price,9.2,MTNL
1,Mkt Cap,5821.0,MTNL
2,Vol,2.6,MTNL
3,P/E,-0.2,MTNL
4,P/CF,-0.2,MTNL
5,EPS (TTM),-60.7,MTNL
6,% ch,-0.2,MTNL
7,No. of shares,630.00,MTNL
8,% ch week,-1.3,MTNL
9,% ch 1-mth,-4.0,MTNL
10,% ch 12-mth,79.1,MTNL
11,52 week H/L,13.3/4.9,MTNL
12,52weekHigh,13.3,MTNL
13,52weekLow,4.9,MTNL
14,Indian Promoters,56.3%,MTNL
15,Foreign collaborators,0.0%,MTNL
16,Indian inst/Mut Fund,21.1%,MTNL
17,FIIs,0.9%,MTNL
18,ADR/GDR,1.7%,MTNL
19,Free float,20.1%,MTNL
20,Shareholders,147288,MTNL
21,Pledged promoter(s) holding,0.0%,MTNL
22,REGD OFF,"Jeevan Bharti Bldg., Tower 1, 12th Floor, Connaught Circus, New Delhi - 01",MTNL
23,E-MAIL,csco@bol.net.in,MTNL
24,TELEPHONE,(011) 2431 7225,MTNL
25,SECTOR,TELECOM,MTNL
26,TR AGENT,"Beetal Financial, 3rd Floor, Beetal House, 99, Madangir, New Delhi-62",MTNL
27,AUDITOR,Bansal Sinha & Co.,MTNL
28,CHM, A. K. Garg (MD),MTNL
29,COMP SEC, S. R. Sayal,MTNL
30,YEAR OF INC, 1986,MTNL
31,BSE CODE, 500108,MTNL
32,FV (Rs), 10,MTNL
33,DIV YIELD (%), -,MTNL
