,0,1,name
0,Price,27.8,MUKD
1,Mkt Cap,3924.0,MUKD
2,Vol,17.7,MUKD
3,P/E,-4.2,MUKD
4,P/CF,0.4,MUKD
5,EPS (TTM),-6.7,MUKD
6,% ch,-0.2,MUKD
7,No. of shares,141.41,MUKD
8,% ch week,9.7,MUKD
9,% ch 1-mth,40.5,MUKD
10,% ch 12-mth,-16.7,MUKD
11,52 week H/L,39.2/12.0,MUKD
12,52weekHigh,39.2,MUKD
13,52weekLow,12.0,MUKD
14,Indian Promoters,73.4%,MUKD
15,Foreign collaborators,0.0%,MUKD
16,Indian inst/Mut Fund,5.2%,MUKD
17,FIIs,0.6%,MUKD
18,ADR/GDR,0.0%,MUKD
19,Free float,20.8%,MUKD
20,Shareholders,44546,MUKD
21,Pledged promoter(s) holding,39.0%,MUKD
22,REGD OFF,"Bajaj Bhawan, Jamnalal Bajaj Marg, 226, Nariman Point, Mumbai - 400 021",MUKD
23,E-MAIL,investors@mukand.com,MUKD
24,TELEPHONE,(022) 6121 6666,MUKD
25,SECTOR,STEEL & RELATED,MUKD
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",MUKD
27,AUDITOR,Haribhakti & Co.,MUKD
28,CHM, Niraj Bajaj (MD),MUKD
29,COMP SEC, K. J. Mallya,MUKD
30,YEAR OF INC, 1937,MUKD
31,BSE CODE, 500460,MUKD
32,FV (Rs), 10,MUKD
33,DIV YIELD (%), -,MUKD
