,0,1,name
0,Price,1212.2,MUTFL
1,Mkt Cap,481316.0,MUTFL
2,Vol,334.4,MUTFL
3,P/E,20.2,MUTFL
4,P/CF,12.7,MUTFL
5,EPS (TTM),60.1,MUTFL
6,% ch,2.5,MUTFL
7,No. of shares,397.06,MUTFL
8,% ch week,-1.2,MUTFL
9,% ch 1-mth,-6.9,MUTFL
10,% ch 12-mth,94.3,MUTFL
11,52 week H/L,"1,405.0/477.5",MUTFL
12,52weekHigh,"1,405.0",MUTFL
13,52weekLow,477.5,MUTFL
14,Indian Promoters,75.0%,MUTFL
15,Foreign collaborators,0.0%,MUTFL
16,Indian inst/Mut Fund,3.4%,MUTFL
17,FIIs,15.7%,MUTFL
18,ADR/GDR,0.0%,MUTFL
19,Free float,5.9%,MUTFL
20,Shareholders,41514,MUTFL
21,Pledged promoter(s) holding,0.0%,MUTFL
22,REGD OFF,"Muthoot Chambers, Opp. Saritha Theatre Complex, Banerji Road, Kochi-18",MUTFL
23,E-MAIL,cs@muthootgroup.com,MUTFL
24,TELEPHONE,(0484) 353 5533,MUTFL
25,SECTOR,INVESTMENT & FINANCE,MUTFL
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",MUTFL
27,AUDITOR,Rangamani & Co.,MUTFL
28,CHM, M. G. George Muthoot,MUTFL
29,COMP SEC, Maxin James,MUTFL
30,YEAR OF INC, 1997,MUTFL
31,BSE CODE, 533398,MUTFL
32,FV (Rs), 10,MUTFL
33,DIV YIELD (%), 1.0,MUTFL
