,0,1,name
0,Price,293.5,MYUN
1,Mkt Cap,12712.0,MYUN
2,Vol,0.2,MYUN
3,P/E,15.8,MYUN
4,P/CF,11.8,MYUN
5,EPS (TTM),18.6,MYUN
6,% ch,1.5,MYUN
7,No. of shares,43.32,MYUN
8,% ch week,19.6,MYUN
9,% ch 1-mth,31.3,MYUN
10,% ch 12-mth,36.4,MYUN
11,52 week H/L,305.0/118.2,MYUN
12,52weekHigh,305.0,MYUN
13,52weekLow,118.2,MYUN
14,Indian Promoters,75.0%,MYUN
15,Foreign collaborators,0.0%,MYUN
16,Indian inst/Mut Fund,0.2%,MYUN
17,FIIs,2.2%,MYUN
18,ADR/GDR,0.0%,MYUN
19,Free float,22.7%,MYUN
20,Shareholders,5893,MYUN
21,Pledged promoter(s) holding,0.0%,MYUN
22,REGD OFF,"Village: Jaitpura, Jaipur-Sikar Road,Tehsil:Chomu, Distt.: Jaipur- 303 704",MYUN
23,E-MAIL,info@mayur.biz,MYUN
24,TELEPHONE,(01423) 224 001,MYUN
25,SECTOR,TEXTILES,MYUN
26,TR AGENT,"Beetal House, 3rd Floor, 99 Madangir, Harsukhdas Mandir, New Delhi-62",MYUN
27,AUDITOR,Madhukar Garg & Co.,MYUN
28,CHM, Suresh Kumar Poddar (MD),MYUN
29,COMP SEC, Nikhil Saxena,MYUN
30,YEAR OF INC, 1992,MYUN
31,BSE CODE, 522249,MYUN
32,FV (Rs), 5,MYUN
33,DIV YIELD (%), 1.1,MYUN
