,0,1,name
0,Price,3238.2,NAUKRI
1,Mkt Cap,388319.0,NAUKRI
2,Vol,6.2,NAUKRI
3,P/E,188.8,NAUKRI
4,P/CF,42.0,NAUKRI
5,EPS (TTM),17.2,NAUKRI
6,% ch,-0.1,NAUKRI
7,No. of shares,119.92,NAUKRI
8,% ch week,-1.3,NAUKRI
9,% ch 1-mth,2.3,NAUKRI
10,% ch 12-mth,69.9,NAUKRI
11,52 week H/L,"3,575.3/1,580.0",NAUKRI
12,52weekHigh,"3,575.3",NAUKRI
13,52weekLow,"1,580.0",NAUKRI
14,Indian Promoters,50.5%,NAUKRI
15,Foreign collaborators,0.0%,NAUKRI
16,Indian inst/Mut Fund,10.9%,NAUKRI
17,FIIs,29.1%,NAUKRI
18,ADR/GDR,0.0%,NAUKRI
19,Free float,9.6%,NAUKRI
20,Shareholders,10996,NAUKRI
21,Pledged promoter(s) holding,0.0%,NAUKRI
22,REGD OFF,"GF-12A, 94, Meghdoot Building, Nehru Place, New Delhi - 110 019",NAUKRI
23,E-MAIL,amit.gupta@naukri.com,NAUKRI
24,TELEPHONE,(0120) 484 1100,NAUKRI
25,SECTOR,SOFTWARE,NAUKRI
26,TR AGENT,"Link Intime India, 44, Naraina Indl. Area, Phase 1, New Delhi-28",NAUKRI
27,AUDITOR,Price Waterhouse,NAUKRI
28,CHM, Kapil Kapoor,NAUKRI
29,COMP SEC, Murlee Manohar Jain,NAUKRI
30,YEAR OF INC, 1995,NAUKRI
31,BSE CODE, 532777,NAUKRI
32,FV (Rs), 10,NAUKRI
33,DIV YIELD (%), 0.2,NAUKRI
