,0,1,name
0,Price,35.2,NDTV
1,Mkt Cap,2266.0,NDTV
2,Vol,0.0,NDTV
3,P/E,7.7,NDTV
4,P/CF,6.5,NDTV
5,EPS (TTM),4.5,NDTV
6,% ch,-2.2,NDTV
7,No. of shares,64.47,NDTV
8,% ch week,-2.6,NDTV
9,% ch 1-mth,-1.0,NDTV
10,% ch 12-mth,8.7,NDTV
11,52 week H/L,53.2/19.2,NDTV
12,52weekHigh,53.2,NDTV
13,52weekLow,19.2,NDTV
14,Indian Promoters,61.5%,NDTV
15,Foreign collaborators,0.0%,NDTV
16,Indian inst/Mut Fund,0.5%,NDTV
17,FIIs,2.9%,NDTV
18,ADR/GDR,0.0%,NDTV
19,Free float,35.2%,NDTV
20,Shareholders,39489,NDTV
21,Pledged promoter(s) holding,0.0%,NDTV
22,REGD OFF,"207, Ohkla Industrial Estate, Phase - III, New Delhi - 110 020",NDTV
23,E-MAIL,anoop@ndtv.com,NDTV
24,TELEPHONE,(011) 4617 6300,NDTV
25,SECTOR,MEDIA,NDTV
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",NDTV
27,AUDITOR,Price Waterhouse,NDTV
28,CHM, Prannoy Roy,NDTV
29,COMP SEC, Anoop Singh Juneja,NDTV
30,YEAR OF INC, 1988,NDTV
31,BSE CODE, 532529,NDTV
32,FV (Rs), 4,NDTV
33,DIV YIELD (%), -,NDTV
