,0,1,name
0,Price,22.8,NHPC
1,Mkt Cap,251858.0,NHPC
2,Vol,2.7,NHPC
3,P/E,9.5,NHPC
4,P/CF,7.2,NHPC
5,EPS (TTM),2.4,NHPC
6,% ch,0.2,NHPC
7,No. of shares,11070.67,NHPC
8,% ch week,9.9,NHPC
9,% ch 1-mth,12.6,NHPC
10,% ch 12-mth,-2.2,NHPC
11,52 week H/L,29.0/15.2,NHPC
12,52weekHigh,29.0,NHPC
13,52weekLow,15.2,NHPC
14,Indian Promoters,86.0%,NHPC
15,Foreign collaborators,0.0%,NHPC
16,Indian inst/Mut Fund,3.9%,NHPC
17,FIIs,1.9%,NHPC
18,ADR/GDR,0.0%,NHPC
19,Free float,8.3%,NHPC
20,Shareholders,1011376,NHPC
21,Pledged promoter(s) holding,0.0%,NHPC
22,REGD OFF,"NHPC Office Complex, Sector - 33, Faridabad - 121 003",NHPC
23,E-MAIL,companysecretary@nhpc.nic.in,NHPC
24,TELEPHONE,(0129) 227 8421,NHPC
25,SECTOR,POWER,NHPC
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",NHPC
27,AUDITOR,S. N. Nanda & Co.,NHPC
28,CHM, G. Sai Prasad,NHPC
29,COMP SEC, Vijay Gupta,NHPC
30,YEAR OF INC, 1975,NHPC
31,BSE CODE, 533098,NHPC
32,FV (Rs), 10,NHPC
33,DIV YIELD (%), 5.7,NHPC
