,0,1,name
0,Price,56.4,NYVL
1,Mkt Cap,86135.0,NYVL
2,Vol,2.6,NYVL
3,P/E,10.1,NYVL
4,P/CF,2.7,NYVL
5,EPS (TTM),5.6,NYVL
6,% ch,0.3,NYVL
7,No. of shares,1528.57,NYVL
8,% ch week,9.8,NYVL
9,% ch 1-mth,17.0,NYVL
10,% ch 12-mth,3.1,NYVL
11,52 week H/L,62.6/35.1,NYVL
12,52weekHigh,62.6,NYVL
13,52weekLow,35.1,NYVL
14,Indian Promoters,90.0%,NYVL
15,Foreign collaborators,0.0%,NYVL
16,Indian inst/Mut Fund,8.3%,NYVL
17,FIIs,0.1%,NYVL
18,ADR/GDR,0.0%,NYVL
19,Free float,1.6%,NYVL
20,Shareholders,95192,NYVL
21,Pledged promoter(s) holding,0.0%,NYVL
22,REGD OFF,"Neyveli House, No. 135, Periyar EVR High Road, Chennai - 600 010",NYVL
23,E-MAIL,investors@nlcindia.com,NYVL
24,TELEPHONE,(04142) 252 205,NYVL
25,SECTOR,POWER,NYVL
26,TR AGENT,"Integrated Enterprises, II Floor, Kences Towers, T.Nagar, Chennai-17",NYVL
27,AUDITOR,P.B. Vijayaraghavan & Co.,NYVL
28,CHM, B. Surender Mohan (MD),NYVL
29,COMP SEC, K. Viswanath,NYVL
30,YEAR OF INC, 1956,NYVL
31,BSE CODE, 513683,NYVL
32,FV (Rs), 10,NYVL
33,DIV YIELD (%), 8.0,NYVL
