,0,1,name
0,Price,40.3,ONMG
1,Mkt Cap,4604.0,ONMG
2,Vol,7.8,ONMG
3,P/E,16.7,ONMG
4,P/CF,10.0,ONMG
5,EPS (TTM),2.4,ONMG
6,% ch,0.6,ONMG
7,No. of shares,114.25,ONMG
8,% ch week,4.3,ONMG
9,% ch 1-mth,39.4,ONMG
10,% ch 12-mth,34.8,ONMG
11,52 week H/L,45.4/13.0,ONMG
12,52weekHigh,45.4,ONMG
13,52weekLow,13.0,ONMG
14,Indian Promoters,4.1%,ONMG
15,Foreign collaborators,44.6%,ONMG
16,Indian inst/Mut Fund,0.3%,ONMG
17,FIIs,6.1%,ONMG
18,ADR/GDR,0.0%,ONMG
19,Free float,44.9%,ONMG
20,Shareholders,45961,ONMG
21,Pledged promoter(s) holding,0.0%,ONMG
22,REGD OFF,"26, Bannerghatta Road, JP Nagar Phase III, Bangalore - 560 076",ONMG
23,E-MAIL,investors@onmobile.com,ONMG
24,TELEPHONE,(080) 4180 2500,ONMG
25,SECTOR,TELECOM,ONMG
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",ONMG
27,AUDITOR,Deloitte Haskins and Sells,ONMG
28,CHM, H. H. Haight IV,ONMG
29,COMP SEC, P. V. Varaprasad,ONMG
30,YEAR OF INC, 2000,ONMG
31,BSE CODE, 532944,ONMG
32,FV (Rs), 10,ONMG
33,DIV YIELD (%), 3.4,ONMG
