,0,1,name
0,Price,23.3,ORHT
1,Mkt Cap,4152.0,ORHT
2,Vol,23.5,ORHT
3,P/E,-59.9,ORHT
4,P/CF,3.6,ORHT
5,EPS (TTM),-0.4,ORHT
6,% ch,-1.9,ORHT
7,No. of shares,178.60,ORHT
8,% ch week,8.9,ORHT
9,% ch 1-mth,16.5,ORHT
10,% ch 12-mth,-38.2,ORHT
11,52 week H/L,44.9/13.2,ORHT
12,52weekHigh,44.9,ORHT
13,52weekLow,13.2,ORHT
14,Indian Promoters,51.0%,ORHT
15,Foreign collaborators,6.3%,ORHT
16,Indian inst/Mut Fund,10.7%,ORHT
17,FIIs,0.0%,ORHT
18,ADR/GDR,11.5%,ORHT
19,Free float,20.6%,ORHT
20,Shareholders,13801,ORHT
21,Pledged promoter(s) holding,1.8%,ORHT
22,REGD OFF,"Taj Coromandel, 37, Mahatma Gandhi Road, Chennai - 600 034",ORHT
23,E-MAIL,ohlshares.mad@tajhotels.com,ORHT
24,TELEPHONE,(044) 2822 2827,ORHT
25,SECTOR,HOTELS,ORHT
26,TR AGENT,"Integrated Enterprises, Kences Tower, North Usman Rd., Chennai-17",ORHT
27,AUDITOR,Brahmayya & Co.,ORHT
28,CHM, Raymond N. Bickson,ORHT
29,COMP SEC, K.C. Raman,ORHT
30,YEAR OF INC, 1970,ORHT
31,BSE CODE, 500314,ORHT
32,FV (Rs), 1,ORHT
33,DIV YIELD (%), 2.2,ORHT
