,0,1,name
0,Price,20851.4,PAGE
1,Mkt Cap,232493.0,PAGE
2,Vol,2.1,PAGE
3,P/E,67.7,PAGE
4,P/CF,54.7,PAGE
5,EPS (TTM),307.8,PAGE
6,% ch,2.7,PAGE
7,No. of shares,11.15,PAGE
8,% ch week,7.9,PAGE
9,% ch 1-mth,7.3,PAGE
10,% ch 12-mth,14.4,PAGE
11,52 week H/L,"26,891.0/16,186.8",PAGE
12,52weekHigh,"26,891.0",PAGE
13,52weekLow,"16,186.8",PAGE
14,Indian Promoters,0.0%,PAGE
15,Foreign collaborators,51.8%,PAGE
16,Indian inst/Mut Fund,7.5%,PAGE
17,FIIs,32.6%,PAGE
18,ADR/GDR,0.0%,PAGE
19,Free float,8.1%,PAGE
20,Shareholders,10480,PAGE
21,Pledged promoter(s) holding,0.0%,PAGE
22,REGD OFF,"Abbaiah Reddy Industrial Area, Hongasandra, Begur Hobli, Bangalore - 560 068",PAGE
23,E-MAIL,gargi.das@jockeyindia.com,PAGE
24,TELEPHONE,(080) 4047 6868,PAGE
25,SECTOR,TEXTILES,PAGE
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",PAGE
27,AUDITOR,Haribhakti & Co.,PAGE
28,CHM, Pradeep Jaipuria,PAGE
29,COMP SEC, C Murugesh,PAGE
30,YEAR OF INC, 1995,PAGE
31,BSE CODE, 532827,PAGE
32,FV (Rs), 10,PAGE
33,DIV YIELD (%), 0.7,PAGE
