,0,1,name
0,Price,98.8,PFC
1,Mkt Cap,260708.0,PFC
2,Vol,11.1,PFC
3,P/E,3.8,PFC
4,P/CF,4.0,PFC
5,EPS (TTM),26.3,PFC
6,% ch,0.9,PFC
7,No. of shares,2640.08,PFC
8,% ch week,5.9,PFC
9,% ch 1-mth,19.3,PFC
10,% ch 12-mth,-5.9,PFC
11,52 week H/L,133.3/74.2,PFC
12,52weekHigh,133.3,PFC
13,52weekLow,74.2,PFC
14,Indian Promoters,72.8%,PFC
15,Foreign collaborators,0.0%,PFC
16,Indian inst/Mut Fund,9.6%,PFC
17,FIIs,11.8%,PFC
18,ADR/GDR,0.0%,PFC
19,Free float,5.8%,PFC
20,Shareholders,205798,PFC
21,Pledged promoter(s) holding,0.0%,PFC
22,REGD OFF,"Urjanidhi, 1, Barakhamba Lane, Connaught Place, New Delhi - 110 001",PFC
23,E-MAIL,mb@pfcindia.com,PFC
24,TELEPHONE,(011) 2345 6020,PFC
25,SECTOR,INVESTMENT & FINANCE,PFC
26,TR AGENT,"Karvy Computershare, 46, Avenue 4, Street 1, Banjara Hills, Hyderabad-34",PFC
27,AUDITOR,N. K. Bhargava & Co.,PFC
28,CHM, M. K. Goel (MD),PFC
29,COMP SEC, Manohar Balwani,PFC
30,YEAR OF INC, 1986,PFC
31,BSE CODE, 532810,PFC
32,FV (Rs), 10,PFC
33,DIV YIELD (%), 7.9,PFC
