,0,1,name
0,Price,440.4,PSPR
1,Mkt Cap,15853.0,PSPR
2,Vol,9.0,PSPR
3,P/E,15.6,PSPR
4,P/CF,14.0,PSPR
5,EPS (TTM),28.2,PSPR
6,% ch,7.4,PSPR
7,No. of shares,36.00,PSPR
8,% ch week,10.7,PSPR
9,% ch 1-mth,6.9,PSPR
10,% ch 12-mth,-13.6,PSPR
11,52 week H/L,576.9/233.8,PSPR
12,52weekHigh,576.9,PSPR
13,52weekLow,233.8,PSPR
14,Indian Promoters,73.0%,PSPR
15,Foreign collaborators,0.0%,PSPR
16,Indian inst/Mut Fund,27.0%,PSPR
17,FIIs,1.3%,PSPR
18,ADR/GDR,0.0%,PSPR
19,Free float,27.0%,PSPR
20,Shareholders,11120,PSPR
21,Pledged promoter(s) holding,0.0%,PSPR
22,REGD OFF,"PSP House, Opp. Celesta Courtyard, Iscon, Ambali road, Ahmedabad 380058",PSPR
23,E-MAIL,info@pspprojects.com,PSPR
24,TELEPHONE,+91 - 079 2693 6200,PSPR
25,SECTOR,CONSTRUCTION,PSPR
26,TR AGENT,,PSPR
27,YEAR OF INC,,PSPR
28,BSE CODE, 540544,PSPR
29,FV (Rs), 10,PSPR
30,DIV YIELD (%), 1.1,PSPR
