,0,1,name
0,Price,50.9,PURVA
1,Mkt Cap,12071.0,PURVA
2,Vol,8.8,PURVA
3,P/E,13.2,PURVA
4,P/CF,9.3,PURVA
5,EPS (TTM),3.9,PURVA
6,% ch,3.8,PURVA
7,No. of shares,237.15,PURVA
8,% ch week,4.4,PURVA
9,% ch 1-mth,22.5,PURVA
10,% ch 12-mth,-11.1,PURVA
11,52 week H/L,79.6/28.7,PURVA
12,52weekHigh,79.6,PURVA
13,52weekLow,28.7,PURVA
14,Indian Promoters,75.0%,PURVA
15,Foreign collaborators,0.0%,PURVA
16,Indian inst/Mut Fund,9.0%,PURVA
17,FIIs,9.9%,PURVA
18,ADR/GDR,0.0%,PURVA
19,Free float,6.1%,PURVA
20,Shareholders,23965,PURVA
21,Pledged promoter(s) holding,0.0%,PURVA
22,REGD OFF,"No. 130/1, Ulsoor Road, Bangalore, Karnataka - 560 042",PURVA
23,E-MAIL,investors@puravankara.com,PURVA
24,TELEPHONE,(080) 2559 9000,PURVA
25,SECTOR,CONSTRUCTION,PURVA
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",PURVA
27,AUDITOR,"Walker, Chandiok & Co.",PURVA
28,CHM, Ravi Puravankara (MD),PURVA
29,COMP SEC, V. P. Raguram,PURVA
30,YEAR OF INC, 1986,PURVA
31,BSE CODE, 532891,PURVA
32,FV (Rs), 5,PURVA
33,DIV YIELD (%), 2.0,PURVA
