,0,1,name
0,Price,2.6,RCOM
1,Mkt Cap,6571.0,RCOM
2,Vol,3821.2,RCOM
3,P/E,-0.7,RCOM
4,P/CF,-14.0,RCOM
5,EPS (TTM),-3.9,RCOM
6,% ch,-4.7,RCOM
7,No. of shares,2488.97,RCOM
8,% ch week,5.6,RCOM
9,% ch 1-mth,-29.8,RCOM
10,% ch 12-mth,175.0,RCOM
11,52 week H/L,4.3/0.6,RCOM
12,52weekHigh,4.3,RCOM
13,52weekLow,0.6,RCOM
14,Indian Promoters,67.9%,RCOM
15,Foreign collaborators,0.0%,RCOM
16,Indian inst/Mut Fund,9.4%,RCOM
17,FIIs,8.0%,RCOM
18,ADR/GDR,0.3%,RCOM
19,Free float,14.6%,RCOM
20,Shareholders,1879525,RCOM
21,Pledged promoter(s) holding,13.9%,RCOM
22,REGD OFF,"H Block, 1st Floor, Dhirubhai Ambani Knowledge City, Navi Mumbai - 400 710",RCOM
23,E-MAIL,rcom.investors@relianceada.com,RCOM
24,TELEPHONE,(022) 3038 6286,RCOM
25,SECTOR,TELECOM,RCOM
26,TR AGENT,"Karvy Comp., Madhura Est., Municipal No. 1-9/13/C, Madhapur, Hyderabad-81",RCOM
27,AUDITOR,B. S. R & Co.,RCOM
28,CHM, Anil D. Ambani,RCOM
29,COMP SEC, Prakash Shenoy,RCOM
30,YEAR OF INC, 1997,RCOM
31,BSE CODE, 532712,RCOM
32,FV (Rs), 5,RCOM
33,DIV YIELD (%), -,RCOM
