,0,1,name
0,Price,119.9,REDTN
1,Mkt Cap,47904.0,REDTN
2,Vol,61.1,REDTN
3,P/E,9.0,REDTN
4,P/CF,8.7,REDTN
5,EPS (TTM),13.4,REDTN
6,% ch,3.7,REDTN
7,No. of shares,399.70,REDTN
8,% ch week,-6.9,REDTN
9,% ch 1-mth,23.2,REDTN
10,% ch 12-mth,6.0,REDTN
11,52 week H/L,139.9/60.0,REDTN
12,52weekHigh,139.9,REDTN
13,52weekLow,60.0,REDTN
14,Indian Promoters,0.0%,REDTN
15,Foreign collaborators,21.0%,REDTN
16,Indian inst/Mut Fund,7.5%,REDTN
17,FIIs,37.3%,REDTN
18,ADR/GDR,0.0%,REDTN
19,Free float,34.1%,REDTN
20,Shareholders,14740,REDTN
21,Pledged promoter(s) holding,0.0%,REDTN
22,REGD OFF,"SPL Guindy House, 95, Mount Road, Guindy, Chennai - 600 032",REDTN
23,E-MAIL,mmkumar@redington.co.in,REDTN
24,TELEPHONE,(044) 4224 3353,REDTN
25,SECTOR,MISCELLANEOUS,REDTN
26,TR AGENT,"Cameo Corp. Sevices, Subramaniam Bldg., 1 Club Hse Rd., Chennai-02",REDTN
27,AUDITOR,Deloitte Haskins & Sells,REDTN
28,CHM, J. Ramachandran,REDTN
29,COMP SEC, M. Muthukumarasamy,REDTN
30,YEAR OF INC, 1961,REDTN
31,BSE CODE, 532805,REDTN
32,FV (Rs), 2,REDTN
33,DIV YIELD (%), 2.7,REDTN
