,0,1,name
0,Price,4477.6,REDY
1,Mkt Cap,741983.0,REDY
2,Vol,0.7,REDY
3,P/E,39.1,REDY
4,P/CF,24.4,REDY
5,EPS (TTM),114.5,REDY
6,% ch,0.1,REDY
7,No. of shares,165.71,REDY
8,% ch week,-0.9,REDY
9,% ch 1-mth,10.2,REDY
10,% ch 12-mth,74.5,REDY
11,52 week H/L,"4,754.3/2,495.4",REDY
12,52weekHigh,"4,754.3",REDY
13,52weekLow,"2,495.4",REDY
14,Indian Promoters,25.5%,REDY
15,Foreign collaborators,0.0%,REDY
16,Indian inst/Mut Fund,5.4%,REDY
17,FIIs,35.3%,REDY
18,ADR/GDR,18.5%,REDY
19,Free float,15.3%,REDY
20,Shareholders,75885,REDY
21,Pledged promoter(s) holding,0.0%,REDY
22,REGD OFF,"8-2-337, Road No. 3, Banjara Hills, Hyderabad - 500 034",REDY
23,E-MAIL,spoddar@drreddys.com,REDY
24,TELEPHONE,(040) 4900 2222,REDY
25,SECTOR,PHARMACEUTICALS,REDY
26,TR AGENT,"Bigshare Services Ltd., G-10, Left wing, Amrutha Ville, Hyderabad - 82",REDY
27,AUDITOR,B. S. R & Co.,REDY
28,CHM, G. V. Prasad,REDY
29,COMP SEC, Sandeep Poddar,REDY
30,YEAR OF INC, 1984,REDY
31,BSE CODE, 500124,REDY
32,FV (Rs), 5,REDY
33,DIV YIELD (%), 0.4,REDY
