,0,1,name
0,Price,36.2,RELIG
1,Mkt Cap,6456.0,RELIG
2,Vol,1.0,RELIG
3,P/E,-4.7,RELIG
4,P/CF,-0.5,RELIG
5,EPS (TTM),-7.6,RELIG
6,% ch,0.4,RELIG
7,No. of shares,178.33,RELIG
8,% ch week,6.9,RELIG
9,% ch 1-mth,-8.4,RELIG
10,% ch 12-mth,39.0,RELIG
11,52 week H/L,60.6/17.2,RELIG
12,52weekHigh,60.6,RELIG
13,52weekLow,17.2,RELIG
14,Indian Promoters,50.9%,RELIG
15,Foreign collaborators,0.0%,RELIG
16,Indian inst/Mut Fund,0.9%,RELIG
17,FIIs,15.3%,RELIG
18,ADR/GDR,0.0%,RELIG
19,Free float,32.9%,RELIG
20,Shareholders,26518,RELIG
21,Pledged promoter(s) holding,68.3%,RELIG
22,REGD OFF,"D-3, P3B, District Centre, Saket, New Delhi - 110 017",RELIG
23,E-MAIL,investorservices@religare.com,RELIG
24,TELEPHONE,(011) 3912 5000,RELIG
25,SECTOR,MISCELLANEOUS,RELIG
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",RELIG
27,AUDITOR,Price Waterhouse,RELIG
28,CHM, Sunil Godhwani (MD),RELIG
29,COMP SEC, Mohit Maheshwari,RELIG
30,YEAR OF INC, 1984,RELIG
31,BSE CODE, 532915,RELIG
32,FV (Rs), 10,RELIG
33,DIV YIELD (%), -,RELIG
