,0,1,name
0,Price,11.3,RENSU
1,Mkt Cap,10486.0,RENSU
2,Vol,32.9,RENSU
3,P/E,-2.8,RENSU
4,P/CF,-0.8,RENSU
5,EPS (TTM),-4.1,RENSU
6,% ch,4.5,RENSU
7,No. of shares,928.81,RENSU
8,% ch week,12.9,RENSU
9,% ch 1-mth,30.8,RENSU
10,% ch 12-mth,69.8,RENSU
11,52 week H/L,12.5/3.2,RENSU
12,52weekHigh,12.5,RENSU
13,52weekLow,3.2,RENSU
14,Indian Promoters,27.6%,RENSU
15,Foreign collaborators,27.9%,RENSU
16,Indian inst/Mut Fund,5.6%,RENSU
17,FIIs,8.3%,RENSU
18,ADR/GDR,0.0%,RENSU
19,Free float,30.6%,RENSU
20,Shareholders,207877,RENSU
21,Pledged promoter(s) holding,21.5%,RENSU
22,REGD OFF,"BC 105, Havelock Road, Camp, Belgaum - 590 001",RENSU
23,E-MAIL,iyer.dv@renukasugars.com,RENSU
24,TELEPHONE,(0831) 2404 000,RENSU
25,SECTOR,SUGAR,RENSU
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",RENSU
27,AUDITOR,Ashok Kumar,RENSU
28,CHM, Vidya M. Murkumbi,RENSU
29,COMP SEC, D. V. Iyer,RENSU
30,YEAR OF INC, 1995,RENSU
31,BSE CODE, 532670,RENSU
32,FV (Rs), 1,RENSU
33,DIV YIELD (%), -,RENSU
