,0,1,name
0,Price,290.9,RYMD
1,Mkt Cap,17852.0,RYMD
2,Vol,1.7,RYMD
3,P/E,35.6,RYMD
4,P/CF,4.7,RYMD
5,EPS (TTM),8.2,RYMD
6,% ch,1.4,RYMD
7,No. of shares,61.38,RYMD
8,% ch week,8.3,RYMD
9,% ch 1-mth,15.3,RYMD
10,% ch 12-mth,-49.3,RYMD
11,52 week H/L,838.0/209.5,RYMD
12,52weekHigh,838.0,RYMD
13,52weekLow,209.5,RYMD
14,Indian Promoters,40.2%,RYMD
15,Foreign collaborators,0.0%,RYMD
16,Indian inst/Mut Fund,12.8%,RYMD
17,FIIs,6.9%,RYMD
18,ADR/GDR,1.3%,RYMD
19,Free float,38.8%,RYMD
20,Shareholders,108613,RYMD
21,Pledged promoter(s) holding,0.0%,RYMD
22,REGD OFF,"Plot No. 156/H. No. 2, Village Zadgaon, Ratnagiri - 415 612",RYMD
23,E-MAIL,thomas.fernandes@raymond.in,RYMD
24,TELEPHONE,(02352) 232 514,RYMD
25,SECTOR,TEXTILES,RYMD
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",RYMD
27,AUDITOR,Dalal & Shah,RYMD
28,CHM, Gautam Hari Singhania (MD),RYMD
29,COMP SEC, Thomas Fernandes,RYMD
30,YEAR OF INC, 1925,RYMD
31,BSE CODE, 500330,RYMD
32,FV (Rs), 10,RYMD
33,DIV YIELD (%), 1.0,RYMD
