,0,1,name
0,Price,42.1,SAIL
1,Mkt Cap,173689.0,SAIL
2,Vol,37.3,SAIL
3,P/E,8.6,SAIL
4,P/CF,3.2,SAIL
5,EPS (TTM),4.9,SAIL
6,% ch,0.5,SAIL
7,No. of shares,4130.53,SAIL
8,% ch week,7.8,SAIL
9,% ch 1-mth,22.4,SAIL
10,% ch 12-mth,31.8,SAIL
11,52 week H/L,51.9/20.2,SAIL
12,52weekHigh,51.9,SAIL
13,52weekLow,20.2,SAIL
14,Indian Promoters,80.0%,SAIL
15,Foreign collaborators,0.0%,SAIL
16,Indian inst/Mut Fund,10.8%,SAIL
17,FIIs,5.9%,SAIL
18,ADR/GDR,0.0%,SAIL
19,Free float,3.3%,SAIL
20,Shareholders,382428,SAIL
21,Pledged promoter(s) holding,0.0%,SAIL
22,REGD OFF,"Ispat Bhawan, Lodi Road, New Delhi - 110 003",SAIL
23,E-MAIL,secy.sail@sailex.com,SAIL
24,TELEPHONE,(011) 2436 7481,SAIL
25,SECTOR,STEEL & RELATED,SAIL
26,TR AGENT,"MCS Ltd., F-65, 1st Floor, Okhla Indl. Area, Phase-I, New Delhi-20",SAIL
27,AUDITOR,S. K. Mittal & Co.,SAIL
28,CHM, C. S. Verma,SAIL
29,COMP SEC, M. C. Jain,SAIL
30,YEAR OF INC, 1973,SAIL
31,BSE CODE, 500113,SAIL
32,FV (Rs), 10,SAIL
33,DIV YIELD (%), 1.2,SAIL
