,0,1,name
0,Price,22200.9,SHRCM
1,Mkt Cap,773478.0,SHRCM
2,Vol,1.2,SHRCM
3,P/E,49.3,SHRCM
4,P/CF,31.1,SHRCM
5,EPS (TTM),450.7,SHRCM
6,% ch,-0.5,SHRCM
7,No. of shares,34.84,SHRCM
8,% ch week,3.2,SHRCM
9,% ch 1-mth,4.0,SHRCM
10,% ch 12-mth,18.3,SHRCM
11,52 week H/L,"25,341.2/15,500.0",SHRCM
12,52weekHigh,"25,341.2",SHRCM
13,52weekLow,"15,500.0",SHRCM
14,Indian Promoters,64.8%,SHRCM
15,Foreign collaborators,0.0%,SHRCM
16,Indian inst/Mut Fund,6.0%,SHRCM
17,FIIs,10.9%,SHRCM
18,ADR/GDR,0.0%,SHRCM
19,Free float,21.2%,SHRCM
20,Shareholders,12432,SHRCM
21,Pledged promoter(s) holding,0.0%,SHRCM
22,REGD OFF,"Bangur Nagar, Dist. Ajmer, Beawar - 305 901",SHRCM
23,E-MAIL,khandelwalss@shreecementltd.com,SHRCM
24,TELEPHONE,(01462) 228 101/06,SHRCM
25,SECTOR,CEMENT,SHRCM
26,TR AGENT,"Karvy Computershare, Plot 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",SHRCM
27,AUDITOR,B. R. Maheshwari & Co.,SHRCM
28,CHM, B. G. Bangur,SHRCM
29,COMP SEC, S. S. Khandelwal,SHRCM
30,YEAR OF INC, 1979,SHRCM
31,BSE CODE, 500387,SHRCM
32,FV (Rs), 10,SHRCM
33,DIV YIELD (%), 0.3,SHRCM
