,0,1,name
0,Price,1235.1,SIEM
1,Mkt Cap,439844.0,SIEM
2,Vol,0.3,SIEM
3,P/E,57.8,SIEM
4,P/CF,33.4,SIEM
5,EPS (TTM),21.4,SIEM
6,% ch,0.8,SIEM
7,No. of shares,356.12,SIEM
8,% ch week,0.5,SIEM
9,% ch 1-mth,6.5,SIEM
10,% ch 12-mth,5.3,SIEM
11,52 week H/L,"1,716.6/947.0",SIEM
12,52weekHigh,"1,716.6",SIEM
13,52weekLow,947.0,SIEM
14,Indian Promoters,0.0%,SIEM
15,Foreign collaborators,75.0%,SIEM
16,Indian inst/Mut Fund,9.1%,SIEM
17,FIIs,4.4%,SIEM
18,ADR/GDR,0.0%,SIEM
19,Free float,11.5%,SIEM
20,Shareholders,119665,SIEM
21,Pledged promoter(s) holding,0.0%,SIEM
22,REGD OFF,"130, Pandurang Budhkar Marg, Worli, Mumbai - 400 018",SIEM
23,E-MAIL,corporate-secretariat.in@siemens.com,SIEM
24,TELEPHONE,(022) 3967 7000,SIEM
25,SECTOR,CAPITAL GOODS,SIEM
26,TR AGENT,"TSR Darashaw, 6-10, Haji Moosa Estate, E. Moses, Road, Mumbai-11",SIEM
27,AUDITOR,S. R. Batliboi & Assoc.,SIEM
28,CHM, Deepak S. Parekh,SIEM
29,COMP SEC, Ketan Thaker,SIEM
30,YEAR OF INC, 1957,SIEM
31,BSE CODE, 500550,SIEM
32,FV (Rs), 2,SIEM
33,DIV YIELD (%), 0.6,SIEM
