,0,1,name
0,Price,24.4,SJVN
1,Mkt Cap,100934.0,SJVN
2,Vol,2.3,SJVN
3,P/E,6.8,SJVN
4,P/CF,6.4,SJVN
5,EPS (TTM),3.6,SJVN
6,% ch,-0.4,SJVN
7,No. of shares,4136.63,SJVN
8,% ch week,6.6,SJVN
9,% ch 1-mth,9.9,SJVN
10,% ch 12-mth,1.0,SJVN
11,52 week H/L,27.3/17.2,SJVN
12,52weekHigh,27.3,SJVN
13,52weekLow,17.2,SJVN
14,Indian Promoters,90.0%,SJVN
15,Foreign collaborators,0.0%,SJVN
16,Indian inst/Mut Fund,3.0%,SJVN
17,FIIs,1.4%,SJVN
18,ADR/GDR,0.0%,SJVN
19,Free float,5.6%,SJVN
20,Shareholders,98493,SJVN
21,Pledged promoter(s) holding,0.0%,SJVN
22,REGD OFF,"Himfed Building, Shimla, Himachal Pradesh - 171 009",SJVN
23,E-MAIL,psr.murthy@sjvn.nic.in,SJVN
24,TELEPHONE,(0177) 267 0741,SJVN
25,SECTOR,POWER,SJVN
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",SJVN
27,AUDITOR,Hingorani M & Co.,SJVN
28,CHM, R. P. Singh (MD),SJVN
29,COMP SEC, Soumendra Das,SJVN
30,YEAR OF INC, 1988,SJVN
31,BSE CODE, 533206,SJVN
32,FV (Rs), 10,SJVN
33,DIV YIELD (%), 9.1,SJVN
