,0,1,name
0,Price,1375.3,SPRM
1,Mkt Cap,174704.0,SPRM
2,Vol,4.5,SPRM
3,P/E,40.1,SPRM
4,P/CF,28.3,SPRM
5,EPS (TTM),34.3,SPRM
6,% ch,0.8,SPRM
7,No. of shares,127.03,SPRM
8,% ch week,15.0,SPRM
9,% ch 1-mth,21.3,SPRM
10,% ch 12-mth,22.2,SPRM
11,52 week H/L,"1,414.0/791.2",SPRM
12,52weekHigh,"1,414.0",SPRM
13,52weekLow,791.2,SPRM
14,Indian Promoters,49.7%,SPRM
15,Foreign collaborators,0.0%,SPRM
16,Indian inst/Mut Fund,5.9%,SPRM
17,FIIs,21.6%,SPRM
18,ADR/GDR,0.0%,SPRM
19,Free float,22.7%,SPRM
20,Shareholders,28432,SPRM
21,Pledged promoter(s) holding,0.0%,SPRM
22,REGD OFF,"612, Raheja Chambers, Nariman Point, Mumbai - 400 021",SPRM
23,E-MAIL,investor@supreme.co.in,SPRM
24,TELEPHONE,(022) 2285 1656,SPRM
25,SECTOR,PLASTICS,SPRM
26,TR AGENT,"Bigshare Services, 2/3, Ansa Indl. Estate, Sakinaka, Andheri (E), Mumbai-72",SPRM
27,AUDITOR,Chhogmal & Co.,SPRM
28,CHM, B. L. Taparia,SPRM
29,COMP SEC, O. P. Roongta (Sr. VP - Finance),SPRM
30,YEAR OF INC, 1942,SPRM
31,BSE CODE, 509930,SPRM
32,FV (Rs), 2,SPRM
33,DIV YIELD (%), 0.9,SPRM
