,0,1,name
0,Price,4336.0,SRFL
1,Mkt Cap,294371.0,SRFL
2,Vol,24.5,SRFL
3,P/E,31.8,SRFL
4,P/CF,29.2,SRFL
5,EPS (TTM),136.4,SRFL
6,% ch,1.1,SRFL
7,No. of shares,67.89,SRFL
8,% ch week,4.7,SRFL
9,% ch 1-mth,14.4,SRFL
10,% ch 12-mth,52.4,SRFL
11,52 week H/L,"4,437.0/2,492.2",SRFL
12,52weekHigh,"4,437.0",SRFL
13,52weekLow,"2,492.2",SRFL
14,Indian Promoters,52.4%,SRFL
15,Foreign collaborators,0.0%,SRFL
16,Indian inst/Mut Fund,13.5%,SRFL
17,FIIs,10.2%,SRFL
18,ADR/GDR,0.0%,SRFL
19,Free float,23.9%,SRFL
20,Shareholders,52987,SRFL
21,Pledged promoter(s) holding,0.0%,SRFL
22,REGD OFF,"C-8, Commercial Complex, Safdarjung Development Area, New Delhi - 110 016",SRFL
23,E-MAIL,ajoshi@srf.com,SRFL
24,TELEPHONE,(0124) 435 4400,SRFL
25,SECTOR,DIVERSIFIED,SRFL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",SRFL
27,AUDITOR,Deloitte Haskins & Sells,SRFL
28,CHM, Arun Bharat Ram,SRFL
29,COMP SEC, Anoop K. Joshi (VP),SRFL
30,YEAR OF INC, 1970,SRFL
31,BSE CODE, 503806,SRFL
32,FV (Rs), 10,SRFL
33,DIV YIELD (%), 0.2,SRFL
