,0,1,name
0,Price,7.8,SRNF
1,Mkt Cap,3944.0,SRNF
2,Vol,15.0,SRNF
3,P/E,1.0,SRNF
4,P/CF,0.4,SRNF
5,EPS (TTM),7.8,SRNF
6,% ch,3.0,SRNF
7,No. of shares,503.09,SRNF
8,% ch week,3.3,SRNF
9,% ch 1-mth,10.7,SRNF
10,% ch 12-mth,-27.4,SRNF
11,52 week H/L,14.1/3.5,SRNF
12,52weekHigh,14.1,SRNF
13,52weekLow,3.5,SRNF
14,Indian Promoters,49.3%,SRNF
15,Foreign collaborators,0.0%,SRNF
16,Indian inst/Mut Fund,0.1%,SRNF
17,FIIs,12.3%,SRNF
18,ADR/GDR,0.0%,SRNF
19,Free float,38.4%,SRNF
20,Shareholders,58203,SRNF
21,Pledged promoter(s) holding,0.0%,SRNF
22,REGD OFF,"Vishwakarma, 86C, Topsia Road (South), Kolkata - 700 046",SRNF
23,E-MAIL,investor.relations@srei.com,SRNF
24,TELEPHONE,(033) 6160 7734,SRNF
25,SECTOR,INVESTMENT & FINANCE,SRNF
26,TR AGENT,"Maheshwari Datamatics, 6 Mangoe Lane, 2nd Floor Kolkata - 700 001",SRNF
27,AUDITOR,Haribhakti & Co.,SRNF
28,CHM, Hemant Kanoria (MD),SRNF
29,COMP SEC, Sandeep Lakhotia,SRNF
30,YEAR OF INC, 1989,SRNF
31,BSE CODE, 523756,SRNF
32,FV (Rs), 10,SRNF
33,DIV YIELD (%), 6.4,SRNF
