,0,1,name
0,Price,54.9,SVNP
1,Mkt Cap,6981.0,SVNP
2,Vol,12.6,SVNP
3,P/E,5.7,SVNP
4,P/CF,6.4,SVNP
5,EPS (TTM),9.6,SVNP
6,% ch,0.6,SVNP
7,No. of shares,127.28,SVNP
8,% ch week,9.0,SVNP
9,% ch 1-mth,46.3,SVNP
10,% ch 12-mth,-78.5,SVNP
11,52 week H/L,334.9/19.4,SVNP
12,52weekHigh,334.9,SVNP
13,52weekLow,19.4,SVNP
14,Indian Promoters,63.4%,SVNP
15,Foreign collaborators,0.0%,SVNP
16,Indian inst/Mut Fund,0.0%,SVNP
17,FIIs,0.0%,SVNP
18,ADR/GDR,0.0%,SVNP
19,Free float,36.5%,SVNP
20,Shareholders,37287,SVNP
21,Pledged promoter(s) holding,0.0%,SVNP
22,REGD OFF,"SDE Serene Chambers, Road No.5, Avenue 7, Banjara Hills, Hyderabad - 500 034",SVNP
23,E-MAIL,investorservices@suven.com,SVNP
24,TELEPHONE,(040) 2354 3311,SVNP
25,SECTOR,PHARMACEUTICALS,SVNP
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",SVNP
27,AUDITOR,Karvy & Company,SVNP
28,COMP SEC, K. Hanumantha Rao,SVNP
29,YEAR OF INC, 1989,SVNP
30,BSE CODE, 530239,SVNP
31,FV (Rs), 1,SVNP
32,DIV YIELD (%), 2.7,SVNP
