,0,1,name
0,Price,230.5,TANSL
1,Mkt Cap,23391.0,TANSL
2,Vol,8.1,TANSL
3,P/E,-11.2,TANSL
4,P/CF,30.6,TANSL
5,EPS (TTM),-20.6,TANSL
6,% ch,5.0,TANSL
7,No. of shares,101.48,TANSL
8,% ch week,40.2,TANSL
9,% ch 1-mth,100.2,TANSL
10,% ch 12-mth,319.5,TANSL
11,52 week H/L,219.6/38.0,TANSL
12,52weekHigh,219.6,TANSL
13,52weekLow,38.0,TANSL
14,Indian Promoters,33.6%,TANSL
15,Foreign collaborators,0.0%,TANSL
16,Indian inst/Mut Fund,0.0%,TANSL
17,FIIs,0.7%,TANSL
18,ADR/GDR,0.0%,TANSL
19,Free float,65.7%,TANSL
20,Shareholders,84391,TANSL
21,Pledged promoter(s) holding,0.0%,TANSL
22,REGD OFF,"Tanla Solutions Ltd, Hitech City Road, Madhapur, Hyderabad - 500 081",TANSL
23,E-MAIL,investorhelp@tanla.com,TANSL
24,TELEPHONE,(040) 4009 9999,TANSL
25,SECTOR,SOFTWARE,TANSL
26,TR AGENT,"Karvy Computer, Plot 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",TANSL
27,AUDITOR,Ramasamy Koteswara Rao & Co.,TANSL
28,CHM, D. Uday Kumar Reddy (MD),TANSL
29,COMP SEC, Seshanuradha Chava,TANSL
30,YEAR OF INC, 1995,TANSL
31,BSE CODE, 532790,TANSL
32,FV (Rs), 1,TANSL
33,DIV YIELD (%), 0.1,TANSL
