,0,1,name
0,Price,3.5,TBVF
1,Mkt Cap,91.0,TBVF
2,Vol,49.7,TBVF
3,P/E,-2.9,TBVF
4,P/CF,0.3,TBVF
5,EPS (TTM),-1.2,TBVF
6,% ch,-4.2,TBVF
7,No. of shares,26.18,TBVF
8,% ch week,-4.2,TBVF
9,% ch 1-mth,15.0,TBVF
10,% ch 12-mth,-57.8,TBVF
11,52 week H/L,9.0/0.9,TBVF
12,52weekHigh,9.0,TBVF
13,52weekLow,0.9,TBVF
14,Indian Promoters,53.4%,TBVF
15,Foreign collaborators,0.0%,TBVF
16,Indian inst/Mut Fund,5.9%,TBVF
17,FIIs,10.8%,TBVF
18,ADR/GDR,0.0%,TBVF
19,Free float,29.9%,TBVF
20,Shareholders,10776,TBVF
21,Pledged promoter(s) holding,0.0%,TBVF
22,REGD OFF,"801-813, Mahalaxmi Chambers, 22, Bhulabhai Desai Road, Mumbai - 400 026",TBVF
23,E-MAIL,ig@talwalkars.net,TBVF
24,TELEPHONE,(022) 6612 6300,TBVF
25,SECTOR,MISCELLANEOUS,TBVF
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",TBVF
27,AUDITOR,M. K. Dandeker & Co.,TBVF
28,CHM, Madhukar Talwalkar,TBVF
29,COMP SEC, Avanti Sankav,TBVF
30,YEAR OF INC, 2003,TBVF
31,BSE CODE, 533200,TBVF
32,FV (Rs), 10,TBVF
33,DIV YIELD (%), 17.1,TBVF
