,0,1,name
0,Price,725.3,TEMH
1,Mkt Cap,704981.0,TEMH
2,Vol,2.2,TEMH
3,P/E,18.1,TEMH
4,P/CF,13.4,TEMH
5,EPS (TTM),40.1,TEMH
6,% ch,0.4,TEMH
7,No. of shares,971.99,TEMH
8,% ch week,0.6,TEMH
9,% ch 1-mth,11.1,TEMH
10,% ch 12-mth,5.0,TEMH
11,52 week H/L,845.7/470.3,TEMH
12,52weekHigh,845.7,TEMH
13,52weekLow,470.3,TEMH
14,Indian Promoters,36.3%,TEMH
15,Foreign collaborators,0.0%,TEMH
16,Indian inst/Mut Fund,9.7%,TEMH
17,FIIs,39.1%,TEMH
18,ADR/GDR,0.0%,TEMH
19,Free float,14.9%,TEMH
20,Shareholders,501775,TEMH
21,Pledged promoter(s) holding,0.0%,TEMH
22,REGD OFF,"Gateway Building, Apollo Bunder, Mumbai - 400 001",TEMH
23,E-MAIL,investor.relations@techmahindra.com,TEMH
24,TELEPHONE,(020) 4225 0000,TEMH
25,SECTOR,SOFTWARE,TEMH
26,TR AGENT,"Link Intime India, Block 202, 2nd Flr., Akshay Complex, Off Dhole Patil Rd, Pune-01",TEMH
27,AUDITOR,Deloitte Haskins & Sells,TEMH
28,CHM, Anand G. Mahindra,TEMH
29,COMP SEC, G. Jayaraman,TEMH
30,YEAR OF INC, 1986,TEMH
31,BSE CODE, 532755,TEMH
32,FV (Rs), 5,TEMH
33,DIV YIELD (%), 2.1,TEMH
