,0,1,name
0,Price,304.5,TIIL
1,Mkt Cap,7448.0,TIIL
2,Vol,9.6,TIIL
3,P/E,7.3,TIIL
4,P/CF,4.7,TIIL
5,EPS (TTM),41.5,TIIL
6,% ch,9.0,TIIL
7,No. of shares,24.46,TIIL
8,% ch week,26.7,TIIL
9,% ch 1-mth,30.8,TIIL
10,% ch 12-mth,6.7,TIIL
11,52 week H/L,418.4/144.0,TIIL
12,52weekHigh,418.4,TIIL
13,52weekLow,144.0,TIIL
14,Indian Promoters,75.0%,TIIL
15,Foreign collaborators,0.0%,TIIL
16,Indian inst/Mut Fund,0.8%,TIIL
17,FIIs,2.3%,TIIL
18,ADR/GDR,0.0%,TIIL
19,Free float,21.9%,TIIL
20,Shareholders,13093,TIIL
21,Pledged promoter(s) holding,0.0%,TIIL
22,REGD OFF,"A-25, MIDC, Road No. 3, Marol Industrial Area, Andheri (E), Mumbai-400 093",TIIL
23,E-MAIL,manoj.jain@technocraftgroup.com,TIIL
24,TELEPHONE,(022) 4098 2222,TIIL
25,SECTOR,STEEL & RELATED,TIIL
26,TR AGENT,"System Support Services, 209, Shivai Indl. Estate, Andheri (E), Mumbai-72",TIIL
27,AUDITOR,M. L. Sharma & Co.,TIIL
28,CHM, M. D. Saraf,TIIL
29,COMP SEC, Manoj Jain,TIIL
30,YEAR OF INC,,TIIL
31,BSE CODE, 532804,TIIL
32,FV (Rs), 10,TIIL
33,DIV YIELD (%), -,TIIL
