,0,1,name
0,Price,17.7,TLKN
1,Mkt Cap,2201.0,TLKN
2,Vol,0.2,TLKN
3,P/E,-1.4,TLKN
4,P/CF,-1.8,TLKN
5,EPS (TTM),-12.6,TLKN
6,% ch,-1.4,TLKN
7,No. of shares,124.68,TLKN
8,% ch week,0.9,TLKN
9,% ch 1-mth,-4.9,TLKN
10,% ch 12-mth,39.4,TLKN
11,52 week H/L,23.0/12.1,TLKN
12,52weekHigh,23.0,TLKN
13,52weekLow,12.1,TLKN
14,Indian Promoters,55.0%,TLKN
15,Foreign collaborators,0.0%,TLKN
16,Indian inst/Mut Fund,0.2%,TLKN
17,FIIs,0.9%,TLKN
18,ADR/GDR,0.0%,TLKN
19,Free float,43.9%,TLKN
20,Shareholders,37604,TLKN
21,Pledged promoter(s) holding,85.3%,TLKN
22,REGD OFF,"P. O. Tilaknagar, Tal. Shrirampur, Dist. Ahmednagar, Maharasthra- 413 720",TLKN
23,E-MAIL,investor@tilind.com,TLKN
24,TELEPHONE,(022) 2283 1716,TLKN
25,SECTOR,"BEVERAGES, FOOD & TOBACCO",TLKN
26,TR AGENT,"Bigshare Services, E-2/3, Ansa Indl. Estate, Saki Naka, Andheri (E), Mumbai-72",TLKN
27,AUDITOR,Batliboi & Purohit,TLKN
28,CHM, Amit Dahanukar (MD),TLKN
29,COMP SEC, Gaurav Thakur,TLKN
30,YEAR OF INC,,TLKN
31,BSE CODE, 507205,TLKN
32,FV (Rs), 10,TLKN
33,DIV YIELD (%), -,TLKN
