,0,1,name
0,Price,1058.3,TMKN
1,Mkt Cap,71954.0,TMKN
2,Vol,0.2,TMKN
3,P/E,29.2,TMKN
4,P/CF,31.6,TMKN
5,EPS (TTM),36.2,TMKN
6,% ch,1.2,TMKN
7,No. of shares,67.99,TMKN
8,% ch week,7.9,TMKN
9,% ch 1-mth,9.0,TMKN
10,% ch 12-mth,53.5,TMKN
11,52 week H/L,"1,101.0/650.0",TMKN
12,52weekHigh,"1,101.0",TMKN
13,52weekLow,650.0,TMKN
14,Indian Promoters,0.0%,TMKN
15,Foreign collaborators,75.0%,TMKN
16,Indian inst/Mut Fund,5.5%,TMKN
17,FIIs,6.4%,TMKN
18,ADR/GDR,0.0%,TMKN
19,Free float,13.2%,TMKN
20,Shareholders,49890,TMKN
21,Pledged promoter(s) holding,0.0%,TMKN
22,REGD OFF,"39-42, Electronic City, Phase II, Hosur Road, Bangalore - 560 100",TMKN
23,E-MAIL,soumitra.hazra@timken.com,TMKN
24,TELEPHONE,(080) 4136 2000,TMKN
25,SECTOR,MISCELLANEOUS,TMKN
26,TR AGENT,"CB Management Services, P-22, Bondel Road, Kolkata-700 019",TMKN
27,AUDITOR,S. R. Batliboi & Co.,TMKN
28,CHM, James R. Menning,TMKN
29,COMP SEC, Soumitra Hazra,TMKN
30,YEAR OF INC, 1987,TMKN
31,BSE CODE, 522113,TMKN
32,FV (Rs), 10,TMKN
33,DIV YIELD (%), 0.1,TMKN
